% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.836538695e+02 +2.836538695e+02 +3.631338695e+02 +3.631338695e+02 +2.7010e-01 +4.3414e-01 -2.1156e+00 -1.4700e+00 +4.6995e+00 +4.4970e+00 -9.7758e-01 -1.8871e+00 -2.8199e+00 -2.8544e+00 -4.0017e+00 +4.1950e+00 +4.5171e+00 -3.4804e+00 +4.7212e+00 -4.3635e+00 +1.8066e+00 +4.4728e+00 +3.2079e+00 -4.4202e+00
2 +1.994974268e+02 +1.994974268e+02 +2.789774268e+02 +2.789774268e+02 +4.7464e+00 +1.5854e+00 -3.6356e+00 +3.4599e+00 +2.2348e+00 +1.0162e+00 -3.4489e+00 -8.9626e-01 +1.1947e+00 +3.6219e-01 -3.6806e+00 +1.6232e+00 +4.1595e+00 +1.5123e+00 -1.1597e+00 +5.4628e-01 -2.2288e+00 -1.7018e+00 -1.8572e+00 -4.6907e+00
18 +1.432913265e+02 +1.432913265e+02 +2.227713265e+02 +2.227713265e+02 -4.5315e+00 -3.7850e+00 +1.6128e+00 +3.0310e+00 -1.3009e+00 +4.0840e+00 +4.2609e+00 -1.1612e+00 -2.2544e+00 +2.9078e-01 -3.2301e+00 +4.3572e+00 +3.7080e+00 +1.4237e+00 +4.3167e+00 +3.6676e-01 -1.6301e-01 -3.7611e+00 -3.7315e+00 +9.4447e-01
207 +9.531893275e+01 +9.531893275e+01 +1.747989328e+02 +1.747989328e+02 +6.1261e-01 +1.6270e+00 +1.4973e+00 -2.6025e+00 -1.5776e+00 +8.5417e-01 -9.4113e-02 -1.1875e-01 -8.4698e-02 -1.9265e+00 -4.3119e+00 +5.4514e-01 +1.0588e+00 +5.0000e+00 +9.8718e-01 -5.2485e-01 +3.8918e-01 -2.4120e+00 -2.2778e-01 +6.5957e-01
235 +5.712603161e+01 +5.712603161e+01 +1.366060316e+02 +1.366060316e+02 +1.4987e+00 +2.5828e+00 +1.6144e+00 +1.1903e+00 -2.9211e+00 +1.7896e+00 +1.2128e+00 -2.1700e+00 -3.2831e+00 -3.7012e+00 -2.1335e+00 +7.2444e-01 +9.1926e-01 +1.7492e+00 +1.9675e+00 -4.5480e-01 +2.6989e-01 -3.2667e+00 +2.4282e+00 +2.2523e+00
526 +3.305801771e+01 +3.305801771e+01 +1.125380177e+02 +1.125380177e+02 -1.4940e+00 +1.9277e+00 -1.5289e+00 +4.6083e-01 -3.2616e+00 -6.5384e-01 +4.7180e-01 +1.6901e+00 -1.9274e+00 -2.2355e+00 -9.1409e-01 +1.7940e+00 +1.8870e-01 -9.7277e-01 +2.2998e+00 +2.9731e+00 +1.2227e-01 -3.3590e+00 +2.0863e+00 +1.5620e+00
678 +2.241131136e+01 +2.241131136e+01 +1.018913114e+02 +1.018913114e+02 -6.0866e-01 +1.7845e+00 -1.5097e+00 +4.4396e-01 -3.8137e+00 -9.3555e-01 +4.9300e-01 +2.3204e-01 -2.2105e+00 -2.4982e+00 -2.3306e+00 +1.9205e+00 +2.8330e-01 +1.3115e+00 +2.9026e+00 +2.5806e+00 -5.0881e-02 -3.7437e+00 +2.1897e+00 +1.9515e+00
854 +1.457441723e+01 +1.457441723e+01 +9.405441723e+01 +9.405441723e+01 +9.5105e-01 +1.4304e-01 +2.8282e-01 +1.4357e+00 -3.1258e+00 -3.7712e-01 -3.7911e-01 +1.3614e+00 -1.7496e+00 -3.3555e+00 -2.9229e+00 +7.2416e-01 +7.8926e-01 +2.1123e+00 +3.5298e+00 +3.4888e+00 -4.1905e-01 -4.2178e+00 +2.6052e+00 +2.0837e+00
904 +7.947402214e+00 +7.947402214e+00 +8.742740221e+01 +8.742740221e+01 +1.3616e+00 -4.2051e-01 -4.1836e-01 +1.5830e+00 -3.4486e+00 -1.4401e-01 +1.3661e-01 +3.7345e-01 -2.0799e+00 -3.3265e+00 -2.7691e+00 +6.1242e-01 +9.2874e-01 +2.9983e-01 +3.6455e+00 +3.4479e+00 -7.6096e-01 -4.0924e+00 +2.3493e+00 +2.1280e+00
1096 +6.054427653e+00 +6.054427653e+00 +8.553442765e+01 +8.553442765e+01 +9.4565e-01 -1.0308e+00 -8.3580e-01 +2.2306e+00 -3.4546e+00 -1.8595e-01 +3.4710e-01 +2.8420e-01 -2.1105e+00 -2.8801e+00 -2.8129e+00 +9.3666e-01 +1.1059e+00 -7.8080e-01 +3.6541e+00 +3.2940e+00 +3.8499e-01 -4.2633e+00 +2.7030e+00 +2.1339e+00
