% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1907 +2.350882523e+00 +2.350882523e+00 -1.282591175e+02 -1.282591175e+02 -4.4731e+00 +1.4866e-01 +3.7124e-01 +1.8119e+00 +4.9455e+00 +2.9031e-01 -1.3355e+00 -4.3148e+00 +2.5187e+00 +1.8516e+00 +1.9713e+00 +2.9481e+00 +2.9435e+00 +4.3778e-02 +9.8689e-01 -2.4917e+00 +1.2928e+00 +3.0778e+00 -4.1578e+00 +1.0396e+00
23823 +1.544658146e+00 +1.544658146e+00 -1.290653419e+02 -1.290653419e+02 -4.7381e+00 +9.4981e-01 +1.3972e+00 +6.1766e-01 +4.9634e+00 +3.3564e+00 -1.8998e+00 -4.0051e+00 +2.7704e+00 +1.5054e+00 +2.2233e+00 +7.6643e-01 +3.4436e+00 -3.3796e+00 +9.8164e-01 -2.6752e+00 +1.6343e+00 +2.8269e+00 -4.1572e+00 +1.0626e+00
% function evaluation | noise-free fitness - Fopt (-2.231200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.610905258e+01 +2.610905258e+01 -1.970109474e+02 -1.970109474e+02 -1.5345e+00 +2.6216e+00 +3.4977e+00 -4.6376e+00 +4.5739e+00 +3.9974e+00 +1.6123e+00 -4.7379e+00 -9.4819e-01 -1.6710e+00 -2.5856e-01 -4.3612e+00 -2.6817e+00 -3.0043e+00 +4.5224e+00 -2.0563e+00 +3.6254e+00 +2.3694e+00 -3.9929e+00 -4.6484e+00
2 +2.073754826e+01 +2.073754826e+01 -2.023824517e+02 -2.023824517e+02 -1.5662e+00 -1.4359e+00 -4.9839e+00 +1.2077e+00 +2.5456e+00 -2.2338e+00 -1.9107e+00 +4.2151e-01 +5.5326e-02 -1.8748e+00 -2.7074e-01 -2.1590e+00 +1.8156e+00 +4.7815e+00 -2.1400e+00 +1.6693e+00 +3.3719e+00 +1.8533e+00 -3.4126e-01 -3.0234e-02
3 +1.391794236e+01 +1.391794236e+01 -2.092020576e+02 -2.092020576e+02 -3.3827e+00 +3.7130e+00 -2.1443e+00 +1.6306e-01 -4.7226e+00 +2.6707e+00 +3.6283e+00 -3.3914e+00 -9.7406e-01 +4.6029e+00 -1.0812e-01 +4.8281e+00 +1.6507e+00 +2.3410e+00 -4.5201e+00 -4.5815e+00 -3.9387e+00 +3.8121e+00 -3.9384e+00 +2.9012e+00
5 +5.174671596e+00 +5.174671596e+00 -2.179453284e+02 -2.179453284e+02 +2.9321e+00 +2.9085e+00 -1.4230e+00 -4.5376e+00 +1.1563e+00 -8.6630e-01 +3.5311e+00 +4.7963e+00 +3.8008e+00 +3.0812e+00 +4.4430e+00 -4.4530e+00 +5.7723e-01 +4.7033e+00 -3.6976e+00 -4.3515e-01 -2.4423e+00 +3.4632e+00 -3.7670e+00 -2.6007e+00
899 +2.620599093e+00 +2.620599093e+00 -2.204994009e+02 -2.204994009e+02 +1.5060e+00 +4.0805e+00 -2.1016e+00 -4.3726e+00 +1.1453e+00 -2.8370e+00 +2.4227e+00 +5.0000e+00 +8.7661e-02 +4.2518e+00 +5.0000e+00 -5.0000e+00 -1.7080e+00 +4.7464e+00 -5.0000e+00 -1.7855e+00 -3.9222e+00 +5.0000e+00 -9.0942e-01 -2.4031e+00
969 +2.391231425e+00 +2.391231425e+00 -2.207287686e+02 -2.207287686e+02 +1.5060e+00 +4.0750e+00 -2.1008e+00 -4.3727e+00 +1.1454e+00 -2.8372e+00 +2.4224e+00 +5.0000e+00 +9.6028e-02 +4.2550e+00 +5.0000e+00 -5.0000e+00 -1.7034e+00 +4.7463e+00 -5.0000e+00 -1.7854e+00 -3.9251e+00 +5.0000e+00 -9.0127e-01 -2.4030e+00
120456 +1.567108968e+00 +1.567108968e+00 -2.215528910e+02 -2.215528910e+02 +1.5048e+00 +4.0754e+00 -2.1178e+00 -4.1597e+00 +1.5917e+00 -2.8638e+00 +2.7198e+00 +4.9999e+00 +9.1504e-02 +4.2561e+00 +5.0000e+00 -5.0000e+00 -1.5706e+00 +4.7638e+00 -5.0000e+00 -1.7854e+00 -3.9266e+00 +5.0000e+00 -8.5514e-01 -2.6258e+00
149948 +9.987588252e-01 +9.987588252e-01 -2.221212412e+02 -2.221212412e+02 +1.5048e+00 +4.0740e+00 -2.1181e+00 -4.1561e+00 +1.5879e+00 -2.8638e+00 +2.7197e+00 +4.9999e+00 +9.1505e-02 +4.2561e+00 +5.0000e+00 -5.0000e+00 -1.5948e+00 +4.7638e+00 -5.0000e+00 -1.7851e+00 -3.9267e+00 +5.0000e+00 -8.6302e-01 -2.6265e+00
% function evaluation | noise-free fitness - Fopt (-4.443000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.482868126e+01 +1.482868126e+01 -2.960131874e+01 -2.960131874e+01 +3.5617e-01 -2.3615e-01 +3.7053e+00 +6.1898e-01 -3.8161e+00 +1.9768e-02 +4.7019e-01 -4.3190e+00 -9.0453e-01 +2.3793e+00 -1.2535e+00 +1.6112e+00 +1.2083e+00 -1.0486e+00 -3.1975e-01 -2.7955e+00 -4.5240e+00 +2.4115e+00 -1.4105e+00 -4.4536e+00
3 +9.053762739e+00 +9.053762739e+00 -3.537623726e+01 -3.537623726e+01 +2.8319e+00 -3.7687e+00 +4.6731e+00 +4.3592e-01 -2.1154e+00 +3.9896e+00 +3.4991e+00 -1.9222e+00 -4.2809e-01 -3.9611e+00 -3.8881e+00 +3.8092e+00 -4.6390e+00 +1.3153e+00 +4.6447e-01 +4.8121e-01 +3.9902e-01 +3.3936e+00 -2.0194e+00 -2.3350e+00
30 +5.761891574e+00 +5.761891574e+00 -3.866810843e+01 -3.866810843e+01 +4.9742e+00 +3.3115e+00 +2.9527e+00 -3.2593e+00 +5.0000e+00 +3.9277e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 -2.6626e+00 +1.6658e+00 +5.0000e+00 -2.4555e+00 -3.9462e+00 +5.0000e+00 -6.4217e-01 -2.2093e+00 +4.9317e+00 -1.8918e+00 -3.5605e+00
543 +3.594569801e+00 +3.594569801e+00 -4.083543020e+01 -4.083543020e+01 +1.0087e+00 +9.4071e-01 +5.0000e+00 -1.8000e+00 +4.2637e+00 +2.7024e+00 -4.1966e+00 -3.0709e+00 +3.5309e+00 -7.3419e-01 -5.0000e+00 +4.9519e+00 -5.0000e+00 +5.0000e+00 +2.7998e+00 -1.0091e+00 -1.4230e+00 +5.0000e+00 +5.0000e+00 -1.5695e+00
2791 +2.437619884e+00 +2.437619884e+00 -4.199238012e+01 -4.199238012e+01 +5.3195e-01 -1.2714e+00 +4.9011e+00 -1.4158e+00 +3.9773e+00 +2.9476e+00 -3.9784e+00 -2.5517e+00 +3.4579e+00 -9.7533e-01 -5.0000e+00 +5.0000e+00 -2.7343e+00 +4.1439e+00 +2.7604e+00 -1.1571e+00 +6.8257e-02 +5.0000e+00 +5.0000e+00 -1.6125e+00
65483 +1.569085682e+00 +1.569085682e+00 -4.286091432e+01 -4.286091432e+01 +4.5238e-01 -1.5688e+00 +4.9002e+00 -9.4840e-01 +3.9878e+00 +2.9463e+00 -3.7968e+00 -2.4383e+00 +3.4301e+00 -9.6957e-01 -5.0000e+00 +5.0000e+00 -2.8914e+00 +4.1393e+00 +2.7854e+00 -1.1605e+00 +5.0316e-02 +5.0000e+00 +5.0000e+00 -1.6136e+00
% function evaluation | noise-free fitness - Fopt (8.539000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.650513717e+01 +1.650513717e+01 +1.018951372e+02 +1.018951372e+02 -1.4188e+00 -1.5153e+00 -2.9829e+00 -1.7165e+00 +3.5375e+00 +1.7966e-02 -1.1863e+00 -2.8744e+00 +4.6195e+00 +1.2574e+00 +5.8328e-01 -2.3377e-01 +2.0992e+00 +2.6930e+00 -2.4654e+00 +1.7228e+00 -3.5430e-01 +1.0857e-01 -3.2210e+00 +3.2419e+00
2 +7.004251909e+00 +7.004251909e+00 +9.239425191e+01 +9.239425191e+01 -3.3390e+00 -3.4426e+00 +4.4175e+00 +2.7855e+00 -6.7076e-01 +1.0558e+00 +1.0334e+00 +1.5921e+00 -1.8110e+00 +2.0460e+00 +4.1519e+00 +1.2346e+00 -2.6514e+00 +4.3387e+00 -2.3145e+00 +6.0945e-01 -3.2117e-02 +4.3805e+00 -4.8501e+00 -4.5833e+00
10 +4.359201201e+00 +4.359201201e+00 +8.974920120e+01 +8.974920120e+01 +3.1506e+00 +3.9122e+00 -3.4891e+00 +3.1584e+00 +2.1718e+00 -1.2497e+00 -1.7715e+00 +1.7440e+00 -2.3487e+00 +2.1145e+00 -3.4963e+00 -1.5531e+00 -2.7543e+00 -1.3740e+00 +1.6093e+00 +1.5308e+00 +2.9983e+00 +2.8097e-01 +2.8933e+00 -3.7439e+00
1200 +3.879124913e+00 +3.879124913e+00 +8.926912491e+01 +8.926912491e+01 +3.1508e+00 +3.9150e+00 -3.4970e+00 +3.1539e+00 +2.1717e+00 -1.2573e+00 -1.7565e+00 +1.7442e+00 -2.3483e+00 +2.1095e+00 -3.4973e+00 -1.5303e+00 -2.7559e+00 -1.3741e+00 +1.6093e+00 +1.5272e+00 +2.9952e+00 +2.8100e-01 +2.8933e+00 -3.7439e+00
