% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.637933450e+05 +3.637933450e+05 +3.639171750e+05 +3.639171750e+05 +2.4500e+00 +4.2924e+00 -3.1141e+00 -4.8855e+00 +3.7254e+00 +2.6802e+00 -2.5030e+00 +4.0607e+00 +2.1608e+00 -2.6643e+00 -6.3484e-01 +2.9816e+00 +1.6816e+00 +5.5856e-01 +2.0383e-01 +1.8469e+00 -3.6782e+00 +2.3657e+00 +1.8454e+00 -1.0580e+00
8 +1.053992699e+05 +1.053992699e+05 +1.055230999e+05 +1.055230999e+05 +2.2647e+00 -1.1998e+00 +3.2395e+00 +5.4561e-02 -2.4341e+00 +4.7876e+00 +1.9138e+00 -2.2046e+00 +1.9595e+00 +1.9996e+00 +1.8246e+00 -1.7158e+00 -2.4147e+00 +3.2671e+00 +2.2627e+00 -8.0593e-01 +2.0888e+00 +3.1917e+00 -1.5791e+00 -1.2663e+00
65 +5.747316238e+04 +5.747316238e+04 +5.759699238e+04 +5.759699238e+04 -1.9632e+00 +3.7432e-01 +5.9169e-01 +3.1071e-01 -3.6841e+00 +3.1241e+00 +1.6717e-01 +3.8102e-01 +2.4450e+00 +2.2619e+00 +3.6993e+00 -2.0370e+00 -9.8546e-01 +4.4099e-01 +9.3621e-01 +2.3032e+00 -1.1313e+00 +2.2718e+00 -1.7076e+00 -3.9217e-01
121 +3.306834632e+04 +3.306834632e+04 +3.319217632e+04 +3.319217632e+04 +2.6264e-01 +2.0610e+00 +2.5918e-01 +1.7432e+00 +3.1298e+00 +0.0000e+00 -1.4128e+00 +2.8687e+00 +8.7495e-01 -1.9333e+00 +2.6483e-01 -1.8411e+00 +6.9619e-01 +3.9085e-01 +8.8947e-01 +2.1837e+00 -4.5987e-01 -8.8396e-01 +9.7653e-01 -8.1300e-01
181 +1.415101048e+04 +1.415101048e+04 +1.427484048e+04 +1.427484048e+04 +2.9890e-01 +1.9805e+00 -7.5029e-01 +4.5972e-02 +3.1334e+00 -5.2359e-01 -1.0545e+00 -1.1060e+00 -1.9696e+00 +2.2455e+00 +0.0000e+00 -1.6323e+00 -1.2693e+00 +1.3463e+00 +1.5855e+00 -9.8744e-01 -3.3179e+00 +0.0000e+00 +0.0000e+00 -4.3718e-01
19310 +8.124531714e+03 +8.124531714e+03 +8.248361714e+03 +8.248361714e+03 +6.8053e-01 +3.9875e-01 +1.8668e+00 +4.8119e-01 -1.0457e+00 -1.5711e+00 +8.6728e-01 +1.3419e+00 -3.3061e-01 -1.4475e+00 +5.4342e-01 +3.3948e-01 -1.5854e+00 +1.5150e-01 +2.8440e+00 +1.7532e+00 -1.2347e+00 +2.3863e+00 +3.5834e-01 -1.6307e-01
% function evaluation | noise-free fitness - Fopt (4.751000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.443797001e+05 +4.443797001e+05 +4.444272101e+05 +4.444272101e+05 -1.2901e-01 -1.5035e+00 +1.1332e+00 -3.0305e+00 -3.8339e+00 +1.6971e+00 -6.3552e-01 -1.9299e+00 -3.3898e+00 -7.3735e-01 +2.6264e+00 -3.2052e+00 +9.3347e-01 -3.8846e+00 +4.3954e+00 +3.4686e+00 -4.9455e+00 +4.1472e+00 -4.8154e+00 -3.8325e+00
2 +2.562231284e+05 +2.562231284e+05 +2.562706384e+05 +2.562706384e+05 +4.0197e+00 -1.7091e+00 -3.3748e+00 -2.1352e+00 +4.7228e+00 +3.5545e+00 -3.0730e+00 +3.8092e+00 +1.1364e+00 +7.1162e-01 -4.5814e+00 -3.5830e+00 +1.0477e-01 +1.3482e+00 -2.3008e+00 -4.7046e-01 +2.0767e+00 -1.9053e+00 +4.9727e+00 -1.1910e+00
6 +1.782270682e+05 +1.782270682e+05 +1.782745782e+05 +1.782745782e+05 -1.6434e+00 +1.8835e-01 +8.2360e-01 -1.2362e+00 -2.9894e+00 +3.9259e+00 -3.9644e+00 +6.4621e-01 -2.1060e-01 +2.0433e+00 +3.3463e-01 +4.5612e+00 -3.8902e+00 +4.0778e+00 +7.2619e-01 -3.8880e+00 +1.8144e+00 +2.6734e+00 +2.4081e+00 +2.1148e-01
