% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.918809025e+03 +2.918809025e+03 +3.011749025e+03 +3.011749025e+03 +1.5766e+00 -4.6281e+00 -3.8761e+00 -3.1084e+00 -4.4363e+00 -2.5668e+00 -4.8586e+00 -1.4062e+00 +2.0655e+00 +2.3868e+00 -2.4421e+00 +1.5337e-01 +9.6915e-01 +4.2117e-01 -2.7451e+00 +4.4052e+00 +4.6889e+00 -2.2150e+00 +3.6359e+00 +1.7890e+00
3 +1.146412219e+03 +1.146412219e+03 +1.239352219e+03 +1.239352219e+03 -3.5122e+00 +4.7649e+00 +3.0411e+00 +3.2583e+00 +1.9054e+00 +1.9948e-01 +3.6187e+00 -4.7436e+00 +3.1669e+00 +4.2679e+00 -9.8736e-01 +9.7251e-01 -5.8201e-01 +1.8697e-01 -3.7931e+00 -3.4303e+00 +9.8785e-01 -1.7613e+00 +1.3355e+00 -3.1905e+00
53 +8.088885026e+02 +8.088885026e+02 +9.018285026e+02 +9.018285026e+02 -1.0732e+00 +5.0000e+00 +5.0000e+00 +9.8686e-01 +5.0000e+00 +2.7738e+00 +1.0630e+00 -5.0000e+00 +9.6511e-01 +4.5685e+00 -3.7997e+00 +4.0706e+00 +2.1753e+00 +2.2607e+00 -2.2904e+00 -2.4043e+00 +3.7486e+00 -3.4423e+00 -9.2471e-01 -4.6257e+00
94 +4.344732696e+02 +4.344732696e+02 +5.274132696e+02 +5.274132696e+02 -3.2306e+00 -4.9006e-01 +1.4998e+00 +1.7579e+00 +2.1717e+00 +2.5035e+00 +3.7410e+00 -2.7618e+00 +5.0000e+00 +3.8269e+00 -2.5583e+00 -4.9930e-01 -1.5324e+00 +1.8162e+00 -9.2063e-01 -1.6307e-01 +2.5771e+00 -2.3426e+00 +2.2456e+00 +1.0002e+00
103 +3.802897220e+02 +3.802897220e+02 +4.732297220e+02 +4.732297220e+02 -8.3055e-01 +0.0000e+00 +0.0000e+00 -9.8227e-02 +4.1734e+00 +4.3509e+00 +5.0000e+00 -2.6805e+00 +5.0000e+00 +4.1221e+00 -3.3519e+00 -2.7361e-01 +2.4985e+00 +3.6542e+00 +3.5923e-01 +2.5957e+00 +3.3711e+00 -3.8095e+00 -6.0626e-01 +3.7435e-01
303 +2.112649460e+02 +2.112649460e+02 +3.042049460e+02 +3.042049460e+02 -8.9536e-01 +0.0000e+00 -7.7104e-02 +1.3857e+00 +5.0000e+00 +4.8998e+00 +5.0000e+00 -1.6864e-01 +5.0000e+00 +3.7296e+00 -2.7649e+00 +0.0000e+00 +2.6861e+00 +3.0756e+00 -3.1750e-01 -1.4515e+00 +3.5778e+00 -3.7638e+00 -2.4939e-01 -3.1982e-01
633 +1.402815609e+02 +1.402815609e+02 +2.332215609e+02 +2.332215609e+02 +2.8209e-01 -6.3105e-02 -1.5832e+00 +3.5961e+00 +4.8148e+00 +5.0000e+00 +2.8128e+00 -4.7065e+00 +5.0000e+00 +1.8215e+00 -2.0712e+00 -2.0548e+00 -2.1118e-01 +1.9482e+00 +2.4086e+00 -1.5931e+00 +1.0535e+00 -1.7328e+00 +7.4151e-01 +3.6140e+00
845 +9.430442360e+01 +9.430442360e+01 +1.872444236e+02 +1.872444236e+02 +1.4347e-01 -1.2992e-01 -1.2810e+00 +1.9861e+00 +4.7702e+00 +5.0000e+00 +3.6058e+00 -4.5052e+00 +5.0000e+00 +1.5047e+00 +3.6282e-01 -2.3386e+00 -1.4639e+00 +2.6632e+00 +2.8198e+00 -1.6284e+00 +1.6514e+00 -2.6254e+00 +0.0000e+00 +4.0951e+00
19137 +5.987761759e+01 +5.987761759e+01 +1.528176176e+02 +1.528176176e+02 -1.6805e+00 +9.5423e-01 +3.6941e-01 +4.2714e+00 +5.0000e+00 +5.0000e+00 +5.0000e+00 -3.2919e+00 +5.0000e+00 +1.1706e+00 +2.2269e+00 -4.2852e+00 +2.7294e-02 +1.6698e+00 +1.1101e+00 +2.9676e+00 +1.0382e+00 -3.1952e+00 +1.0801e+00 +3.7413e+00
138690 +3.686240399e+01 +3.686240399e+01 +1.298024040e+02 +1.298024040e+02 -3.0210e+00 -1.8232e+00 -1.4368e+00 +4.1592e+00 +5.0000e+00 +5.0000e+00 +4.3291e+00 -5.0000e+00 +5.0000e+00 +9.9110e-01 +5.1955e-03 -2.4712e+00 +1.3417e-01 +3.3605e+00 +1.4443e+00 +2.4150e+00 +2.9984e+00 -2.2220e+00 +2.3327e+00 +3.0231e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
