% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.144840418e+01 +8.144840418e+01 +1.527984042e+02 +1.527984042e+02 -1.5283e-01 -3.1997e-01 -3.7089e+00 -5.9444e-01 +2.8672e+00 -3.6784e+00 +2.2498e+00 +3.9375e+00 +3.4954e+00 -3.6239e+00 -2.0487e+00 +2.5166e+00 -1.1526e+00 -3.5101e-01 -1.4050e+00 +2.3258e+00 +3.1441e+00 -9.4134e-01 -2.5253e+00 -2.4858e+00
8 +5.789310581e+01 +5.789310581e+01 +1.292431058e+02 +1.292431058e+02 +1.0446e-01 +9.9297e-01 -6.0446e+00 -1.5157e+00 +2.3423e+00 -6.1047e+00 -3.8909e-01 +5.8000e+00 +3.5179e+00 -4.9142e+00 -4.3721e-01 +2.9798e+00 -3.1322e+00 +2.3282e+00 -8.2604e-01 +5.2836e+00 +5.4202e+00 -2.3096e+00 -5.1091e+00 -2.6317e+00
50 +3.838654586e+01 +3.838654586e+01 +1.097365459e+02 +1.097365459e+02 -2.0324e+00 -5.2432e+00 -2.1519e+00 +4.3851e-01 +2.0314e+00 -6.5341e+00 +2.8837e+00 +5.4473e+00 +2.6878e+00 -6.0936e+00 -2.2263e+00 +4.1512e-01 +2.7162e-01 +2.7289e+00 -5.0213e-01 +2.5997e+00 +2.9452e+00 -1.1407e+00 -2.0821e+00 -1.4106e+00
2687 +1.930634283e+01 +1.930634283e+01 +9.065634283e+01 +9.065634283e+01 +4.0745e+00 -4.2353e+00 +6.2945e+00 -7.1877e+00 -4.4315e+00 -6.3495e+00 +4.0361e+00 +2.4702e+00 +2.0155e+00 +3.1607e+00 -3.0976e-01 -1.1683e-01 -6.6475e+00 +7.7858e+00 +3.2054e+00 -2.9190e-01 -3.5143e+00 +1.2117e+00 -3.7293e+00 -2.8634e+00
2855 +1.579945099e+01 +1.579945099e+01 +8.714945099e+01 +8.714945099e+01 +3.9566e+00 -3.9981e+00 +6.3566e+00 -6.5317e+00 -4.8141e+00 -6.7303e+00 +4.4376e+00 +2.4716e+00 +2.3282e+00 +2.7232e+00 -2.2605e-01 -1.9723e-01 -5.9489e+00 +7.4999e+00 +2.8750e+00 +1.7307e-01 -3.4871e+00 +7.4067e-01 -3.8874e+00 -3.1277e+00
3193 +9.727640726e+00 +9.727640726e+00 +8.107764073e+01 +8.107764073e+01 +4.0929e+00 -3.5222e+00 +6.2741e+00 -6.6520e+00 -4.8843e+00 -6.8825e+00 +4.2264e+00 +2.4618e+00 +2.6057e+00 +2.8085e+00 -5.0703e-01 -3.3768e-01 -5.4768e+00 +7.4338e+00 +2.7458e+00 +2.7788e-01 -3.4805e+00 +8.3706e-01 -4.0251e+00 -2.8448e+00
14622 +6.285898407e+00 +6.285898407e+00 +7.763589841e+01 +7.763589841e+01 -1.8613e+00 +6.8406e+00 -1.2991e+00 -2.8851e+00 +5.2676e+00 -3.8841e+00 -6.9440e+00 -4.6272e+00 +1.1902e+00 -4.7678e+00 -3.1293e+00 +1.3785e+00 +1.2503e+00 +2.2162e+00 -2.8820e+00 -5.1189e+00 -1.6166e+00 -5.2474e-01 -5.9066e+00 +1.5393e+00
15697 +3.954654995e+00 +3.954654995e+00 +7.530465499e+01 +7.530465499e+01 -1.8317e+00 +6.6654e+00 -1.3066e+00 -2.7536e+00 +5.3131e+00 -3.7870e+00 -6.7519e+00 -4.6481e+00 +1.4101e+00 -4.7730e+00 -3.0929e+00 +1.4185e+00 +1.3692e+00 +2.2950e+00 -2.7844e+00 -5.1135e+00 -1.4883e+00 -4.7248e-01 -5.6103e+00 +1.6588e+00
117530 +2.453320857e+00 +2.453320857e+00 +7.380332086e+01 +7.380332086e+01 +2.7292e+00 -9.1921e-01 -6.2046e-01 +5.8742e+00 -4.3488e+00 -5.2353e+00 -3.2281e+00 -4.1459e+00 -2.5451e+00 -1.6081e+00 -7.3626e-01 +9.5849e-01 +4.4839e+00 +4.9136e+00 -4.1758e+00 -3.8232e+00 +5.9823e-01 +8.5362e-01 -1.6425e+00 +2.8842e-01
117933 +1.540842491e+00 +1.540842491e+00 +7.289084249e+01 +7.289084249e+01 +2.6556e+00 -9.3910e-01 -5.6141e-01 +5.7985e+00 -4.2564e+00 -5.2456e+00 -3.1269e+00 -4.1017e+00 -2.4991e+00 -1.5787e+00 -6.1841e-01 +1.1444e+00 +4.5100e+00 +4.9048e+00 -4.1595e+00 -3.8336e+00 +6.4046e-01 +7.5177e-01 -1.4555e+00 +3.1765e-01
