% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2466 +1.424734063e+02 +1.424734063e+02 +1.561134063e+02 +1.561134063e+02 -1.1505e+00 +4.1531e-01 +1.7449e+00 +2.0880e+00 +1.7567e+00 -4.7792e-01 +1.2830e-01 +3.4912e-01 -1.0105e+00 -3.8101e-01 -1.6135e+00 +1.1619e+00 -4.5562e-01 -2.2938e+00 +1.4080e+00 -1.0992e+00 -1.7347e+00 -4.7762e-01 +1.5858e+00 +1.7967e+00
4416 +9.583295500e+01 +9.583295500e+01 +1.094729550e+02 +1.094729550e+02 -1.7879e+00 +1.4106e+00 +1.5520e+00 +2.3452e+00 +1.5253e+00 -1.1609e+00 -5.9716e-01 -9.5275e-01 -1.1635e+00 -1.5074e+00 -8.4973e-01 +9.1429e-01 +5.1558e-02 -1.7330e+00 +1.1284e+00 -7.3986e-01 -2.1801e+00 -3.5580e-01 +1.2543e+00 +2.2831e+00
4954 +6.147640909e+01 +6.147640909e+01 +7.511640909e+01 +7.511640909e+01 -1.7922e+00 +1.4388e+00 +1.5589e+00 +2.3510e+00 +1.5233e+00 -1.1687e+00 -5.7558e-01 -9.5597e-01 -1.1504e+00 -1.4992e+00 -8.0624e-01 +9.0528e-01 +8.7181e-02 -1.7338e+00 +1.1465e+00 -7.5152e-01 -2.2322e+00 -3.3016e-01 +1.2633e+00 +2.2833e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.998970426e+02 +5.998970426e+02 +7.946970426e+02 +7.946970426e+02 -7.9673e-01 +7.3126e-01 +2.0223e+00 +2.2353e+00 +1.1642e-01 +6.5734e-01 +9.4323e-01 +3.2522e+00 -1.3093e+00 -3.9362e+00 +3.0880e+00 -3.0091e+00 +7.5185e-01 +3.9139e+00 -1.1955e+00 +5.4976e-01 -1.0639e+00 +2.1945e+00 -1.6107e+00 -2.6932e+00
99 +3.850070750e+02 +3.850070750e+02 +5.798070750e+02 +5.798070750e+02 +9.9653e-01 -3.1358e+00 +6.6024e-01 -1.8265e+00 +5.3681e-01 -4.5041e-01 +2.7934e+00 -1.5340e-02 -1.8052e+00 -1.5960e+00 -7.6656e-01 -6.9640e-02 +6.7934e-01 -1.4656e+00 +1.3979e+00 -9.1195e-02 +1.5364e-01 +2.1746e+00 +2.0016e+00 -1.4974e+00
295 +2.298818128e+02 +2.298818128e+02 +4.246818128e+02 +4.246818128e+02 -2.0515e+00 -6.3972e-01 +1.6020e-01 +1.3628e+00 +3.8813e-01 -1.0380e+00 +2.2005e+00 +1.7169e+00 -4.4589e-01 -8.6460e-01 -2.3833e-01 +5.0017e-01 -1.0184e-01 -1.6326e+00 -1.0254e+00 +1.8988e+00 -1.6848e+00 +1.3308e-01 +1.1223e+00 +1.2016e+00
2787 +1.457040156e+02 +1.457040156e+02 +3.405040156e+02 +3.405040156e+02 -1.5545e+00 +2.0226e+00 -1.0091e-01 -1.8634e+00 +1.0073e+00 -1.7094e+00 +1.4891e+00 +1.1695e+00 -2.0029e+00 -1.3011e+00 -2.0063e+00 +2.0013e+00 +6.5520e-01 -1.8608e+00 -8.1998e-01 +1.9334e+00 -3.8743e-01 -2.4222e-01 +2.9338e+00 +2.0677e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.494976020e+02 +5.494976020e+02 +4.159076020e+02 +4.159076020e+02 +1.0078e+00 +2.5522e+00 +2.9042e+00 +2.3701e+00 -1.6976e+00 -1.7376e+00 +1.3564e+00 +8.1543e-01 -1.8015e-01 -1.4894e+00 +3.5353e+00 +1.0006e+00 -2.1696e+00 -1.6402e+00 -7.3195e-01 +3.2867e+00 -1.1214e+00 +2.2162e+00 +9.4535e-02 +3.7694e+00
