% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.337766605e+05 +5.337766605e+05 +5.339004905e+05 +5.339004905e+05 +3.4909e+00 +1.5067e+00 +1.8565e+00 +4.0049e+00 -2.0151e+00 +8.4838e-01 -1.4876e+00 +4.0381e+00 -3.8075e+00 +3.6693e+00 -2.7483e+00 +3.3451e+00 +3.7052e+00 -1.2758e+00 +4.7500e+00 +4.3404e+00 +2.7290e+00 +3.4483e+00 +1.1913e+00 +2.1311e+00
2 +2.489873362e+05 +2.489873362e+05 +2.491111662e+05 +2.491111662e+05 +1.9889e+00 +9.6166e-01 -1.3544e+00 -2.0501e-01 +4.1221e+00 +2.0686e-01 +1.9616e+00 -4.5228e+00 +4.6706e+00 -9.1378e-01 +6.2246e-01 -3.6209e+00 -4.1362e+00 -1.4188e+00 +1.9393e+00 -1.8302e+00 -4.0547e+00 +2.9267e+00 -2.7768e+00 -3.8676e+00
14 +1.562475538e+05 +1.562475538e+05 +1.563713838e+05 +1.563713838e+05 -3.9049e-01 -1.6546e-01 +1.8219e+00 +3.0779e+00 +3.1301e+00 +2.3852e-01 -1.5276e+00 +4.0795e+00 -2.7201e+00 +3.5034e-01 +1.1817e+00 -6.1107e-01 -4.2155e-01 -2.1079e+00 +4.0649e+00 +3.4159e+00 -6.9494e-01 -8.3983e-01 +4.4109e+00 -1.1250e+00
207 +8.581316668e+04 +8.581316668e+04 +8.593699668e+04 +8.593699668e+04 -3.4274e+00 +1.3646e-01 +7.2237e-02 -9.6879e-02 -3.4086e+00 +3.3431e-01 +2.8772e+00 +4.7291e+00 +2.0690e+00 -4.5194e-01 +1.3978e+00 +1.4596e+00 +2.1300e+00 -5.1277e-01 +3.2152e+00 -2.3698e+00 +2.3229e-01 +1.3753e+00 -2.9072e+00 -2.7214e+00
233 +5.763620956e+04 +5.763620956e+04 +5.776003956e+04 +5.776003956e+04 -3.2036e+00 +2.6595e-02 +2.2157e+00 +2.1090e+00 -3.1482e+00 +1.5688e+00 -5.5287e-01 +3.3697e-01 +2.3600e-01 -1.2893e+00 -1.6534e+00 +4.4608e-02 +4.6289e-01 +2.8366e+00 +4.4947e+00 -3.2700e+00 -1.1619e+00 -3.2127e+00 +8.3951e-01 +1.9058e+00
928 +3.092498576e+04 +3.092498576e+04 +3.104881576e+04 +3.104881576e+04 -2.6331e+00 -1.6146e+00 +1.6035e+00 +1.3534e+00 +9.0373e-01 +1.6212e-02 -5.2036e-01 +8.9168e-01 -1.0062e+00 -1.7097e+00 -1.0700e+00 +1.2007e+00 +9.3214e-02 +7.0148e-02 +1.4776e+00 -3.5309e+00 -2.8133e+00 -4.2197e-02 +7.8377e-01 +2.6242e+00
1023 +1.838799780e+04 +1.838799780e+04 +1.851182780e+04 +1.851182780e+04 -2.1224e+00 +1.3646e-01 +7.2237e-02 -1.2653e+00 -3.4086e+00 +3.3431e-01 +2.8772e+00 +4.1493e-01 -1.2553e+00 -2.6485e+00 +4.1301e-01 -7.2020e-01 +1.2553e+00 -1.2371e+00 -3.2813e+00 +5.9464e-01 -4.0252e-01 +1.3753e+00 +8.2514e-01 -1.6597e-01
1277 +1.383715682e+04 +1.383715682e+04 +1.396098682e+04 +1.396098682e+04 +7.4893e-01 +3.3619e+00 +7.3529e-03 +3.0524e-01 +4.1342e-01 +6.1768e-01 +2.7414e+00 +5.4790e-01 +6.5287e-01 +1.8199e+00 +2.8612e-01 +5.2241e-02 +2.2278e-04 -1.1741e+00 -1.1491e+00 -5.1426e-01 -1.6793e+00 -1.9303e+00 +3.2595e-01 +1.4193e+00
1606 +8.560867433e+03 +8.560867433e+03 +8.684697433e+03 +8.684697433e+03 +1.0786e+00 +2.6078e+00 +1.2475e-01 +9.1545e-01 +1.6329e+00 -4.0729e-02 +3.1826e+00 -1.8452e-01 -2.1982e+00 +2.9733e+00 -1.3214e+00 -2.9718e+00 +1.7132e+00 -2.4525e+00 +5.9181e-01 -2.7937e+00 -1.3670e+00 +4.3783e-01 +4.7556e-01 +9.2961e-01
2702 +4.627206806e+03 +4.627206806e+03 +4.751036806e+03 +4.751036806e+03 -3.4089e-01 -9.0330e-01 -2.8591e-01 +2.6747e-01 -1.4177e+00 -6.3183e-01 +2.0455e+00 -4.0539e-01 +1.4689e+00 -8.5293e-01 +3.5341e-01 +1.5853e-01 -5.7351e-01 -4.7002e-01 +2.2448e+00 +3.3635e-01 -2.3277e+00 +5.7617e-01 -7.0833e-02 +3.5707e-01
2809 +3.475340769e+03 +3.475340769e+03 +3.599170769e+03 +3.599170769e+03 -5.2850e-01 -6.7891e-01 +1.2721e+00 +4.2930e-01 -9.5914e-03 +4.4063e-01 +4.3659e-01 -2.2553e-01 +4.4647e-01 +1.1873e+00 +3.7659e-01 -1.5423e+00 -9.2004e-02 +1.2799e+00 +2.6891e+00 -1.6831e+00 +2.6797e-01 +2.6810e-01 +1.1741e+00 -1.0803e+00
4038 +2.301898859e+03 +2.301898859e+03 +2.425728859e+03 +2.425728859e+03 +2.5296e-01 -1.2169e-01 +1.2089e+00 +1.6112e+00 +1.4970e+00 +4.5863e-01 +1.5161e+00 -8.2080e-01 -5.7704e-01 -9.3908e-01 -1.8750e+00 -9.8217e-01 -8.3933e-01 +1.1701e-01 +1.6579e+00 -4.8699e-01 -9.4337e-01 +1.2358e+00 +2.4486e-01 -1.5023e+00
4236 +1.113393949e+03 +1.113393949e+03 +1.237223949e+03 +1.237223949e+03 +6.9158e-03 +9.5260e-01 +7.9146e-01 +1.1403e+00 +1.1072e+00 +5.2824e-01 +6.1182e-01 -1.0012e+00 -8.3791e-01 -1.1395e+00 +6.7517e-02 -1.3195e+00 -1.0391e+00 +1.4317e-01 +5.8671e-01 -9.4297e-02 +6.6248e-03 -3.5623e-01 +3.2494e-01 -1.2971e+00
4802 +8.612681184e+02 +8.612681184e+02 +9.850981184e+02 +9.850981184e+02 +8.2335e-02 +1.3440e+00 -6.9989e-01 +7.6480e-01 +9.5040e-01 +8.2360e-01 +1.5275e-01 -1.0101e+00 -1.1164e+00 +8.0388e-02 -3.9584e-01 -1.0620e+00 -9.6776e-01 -1.0943e-01 -1.4817e-01 -2.0701e+00 +7.4336e-01 +4.5266e-01 +4.4517e-01 -7.6221e-01
4915 +5.232859225e+02 +5.232859225e+02 +6.471159225e+02 +6.471159225e+02 +1.3233e-01 +1.1512e+00 +8.1593e-01 +7.9059e-01 +6.1938e-01 +4.5036e-01 -3.4407e-01 +5.6728e-02 -5.2544e-01 -1.1024e+00 -5.3671e-01 -8.1196e-01 -1.1159e+00 -7.1939e-02 +5.6750e-01 -1.5614e+00 -1.2234e-01 -6.0853e-01 +3.8339e-02 -7.7729e-01
6462 +3.576781374e+02 +3.576781374e+02 +4.815081374e+02 +4.815081374e+02 +1.3254e-01 +9.5979e-01 +7.9847e-01 +6.0444e-01 -1.0531e-02 +1.6879e-01 +3.2669e-01 +7.5622e-02 -4.2409e-01 -7.7171e-01 -6.0572e-01 -9.0172e-01 -1.0905e+00 +4.2679e-01 +4.2019e-01 -9.2570e-01 +4.2282e-04 +1.0475e-01 +1.3168e-01 -9.0701e-01
7111 +1.832527129e+02 +1.832527129e+02 +3.070827129e+02 +3.070827129e+02 -1.5981e-01 +1.3796e-01 +6.4674e-01 +4.7217e-01 -4.9537e-02 +4.1380e-01 +4.0094e-01 +2.6031e-01 -4.6875e-01 -1.2207e+00 +2.1527e-01 -6.8780e-01 +1.7146e-01 +1.0353e-01 +6.7928e-01 +6.8773e-02 +5.0026e-02 +4.8038e-02 -3.3217e-02 -1.2684e-01
7616 +1.518625269e+02 +1.518625269e+02 +2.756925269e+02 +2.756925269e+02 -6.5335e-02 -6.3560e-01 +5.9007e-01 +2.6283e-01 +4.4082e-01 +3.5715e-02 +6.2202e-01 -2.5855e-01 -4.3255e-01 -1.0425e+00 -2.4152e-01 -4.9486e-01 -7.5824e-02 +4.2962e-02 +8.7814e-01 +3.0086e-01 -4.8990e-01 +2.6097e-01 -4.3856e-01 -2.0549e-01
10103 +9.329104131e+01 +9.329104131e+01 +2.171210413e+02 +2.171210413e+02 +8.2473e-02 +4.1144e-02 +5.5503e-01 +3.1744e-01 -1.3044e-01 +1.9952e-01 +8.0861e-01 -3.0660e-02 -5.9587e-02 -1.0276e+00 -1.5656e-01 +2.0274e-01 -7.6649e-02 +2.5986e-01 +7.0589e-01 +3.6761e-01 -7.6730e-01 +3.9011e-01 -1.9659e-01 -8.8942e-02
11702 +5.705409257e+01 +5.705409257e+01 +1.808840926e+02 +1.808840926e+02 -1.0698e-01 +1.3322e-01 +5.2820e-01 +6.6677e-02 -4.9960e-01 +1.7762e-01 +1.0496e+00 +7.0744e-02 -1.2001e-01 -9.1964e-01 +2.0961e-01 +5.3378e-02 +1.7026e-01 +2.7103e-01 +8.1409e-01 +3.1914e-01 -7.1346e-01 +5.3051e-01 -1.3564e-01 +1.7226e-01
13602 +3.446223047e+01 +3.446223047e+01 +1.582922305e+02 +1.582922305e+02 -3.9755e-02 +1.7818e-01 +7.4620e-01 +5.1013e-02 -4.5895e-01 +3.3975e-01 +7.7640e-01 +1.9917e-01 -5.4057e-02 -1.0853e+00 +1.3809e-01 +1.1104e-01 -4.2729e-02 -5.2869e-02 +6.8082e-01 +4.0942e-01 -8.7291e-01 +1.9248e-01 -1.8753e-01 -4.5933e-02
14915 +2.385736488e+01 +2.385736488e+01 +1.476873649e+02 +1.476873649e+02 -8.7130e-02 +3.7913e-01 +6.4716e-01 +2.9973e-02 -6.3108e-01 +1.4902e-01 +8.2731e-01 +2.1778e-01 +9.4097e-02 -1.1222e+00 +2.5035e-01 +4.2485e-02 -1.8272e-01 -3.5485e-02 +7.4647e-01 +4.2301e-01 -1.0057e+00 +2.4408e-01 -3.9360e-01 -4.4705e-02
323103 +1.584820642e+01 +1.584820642e+01 +1.396782064e+02 +1.396782064e+02 -9.5894e-02 +4.1621e-01 +8.6855e-01 -2.8004e-01 -3.8352e-01 -1.5411e-01 +3.0378e-01 +7.9657e-02 +2.3277e-02 -6.7151e-01 -1.1062e-01 +4.6205e-01 -2.9673e-01 +2.7009e-01 +5.8709e-01 +5.9776e-01 -9.8711e-01 -1.6313e-01 +3.4818e-01 +1.9973e-01
