% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
721 +9.831909059e+01 +9.831909059e+01 +2.221490906e+02 +2.221490906e+02 -6.8429e-02 +2.9663e-01 +9.1349e-01 +8.7151e-02 -5.2041e-01 +8.1672e-02 +5.6191e-01 +1.4093e-01 +3.7064e-01 -1.2610e+00 +2.3957e-01 +1.4127e-01 -1.5349e-01 +1.7913e-01 +9.0437e-01 +9.0719e-01 -1.1728e+00 +2.5959e-01 +2.2874e-02 -6.5698e-02
779 +5.782404201e+01 +5.782404201e+01 +1.816540420e+02 +1.816540420e+02 -1.8770e-01 +2.2651e-01 +4.9986e-01 +9.8503e-02 -4.7401e-01 +9.9881e-02 +9.2499e-01 +6.5996e-02 -2.2113e-01 -9.0057e-01 +1.4278e-01 +1.2476e-01 -3.7364e-01 -9.5731e-02 +6.4765e-01 +5.7644e-01 -1.1627e+00 +1.4920e-01 -1.6147e-01 +3.8739e-01
830 +3.876178478e+01 +3.876178478e+01 +1.625917848e+02 +1.625917848e+02 -1.3001e-01 +2.6075e-01 +6.8894e-01 +5.0573e-02 -4.3311e-01 +9.5966e-03 +7.2927e-01 +2.6399e-01 -9.1641e-02 -1.2681e+00 +1.7883e-01 +1.1568e-01 -1.8585e-01 -8.2202e-02 +7.2845e-01 +4.1057e-01 -1.1458e+00 +3.1568e-01 -2.8542e-01 +3.4920e-02
1026 +2.358283060e+01 +2.358283060e+01 +1.474128306e+02 +1.474128306e+02 -1.2020e-01 +2.2490e-01 +6.0749e-01 +4.9701e-02 -5.4723e-01 +2.4932e-01 +8.4747e-01 +2.3536e-01 +5.2685e-02 -1.1631e+00 +2.0910e-01 +7.8439e-02 -6.7981e-02 -1.9953e-02 +7.5179e-01 +4.8319e-01 -9.7019e-01 +1.6336e-01 -3.2606e-01 -6.7430e-02
4939 +1.583743571e+01 +1.583743571e+01 +1.396674357e+02 +1.396674357e+02 -9.8405e-02 +4.0153e-01 +8.7948e-01 -2.9452e-01 -3.7573e-01 -1.7306e-01 +2.8853e-01 +6.5475e-02 +6.1013e-03 -6.5114e-01 -1.3819e-01 +4.6472e-01 -2.9670e-01 +2.8668e-01 +6.1050e-01 +5.8596e-01 -9.8889e-01 -1.8112e-01 +3.9081e-01 +1.8984e-01
9631 +9.982275762e+00 +9.982275762e+00 +1.338122758e+02 +1.338122758e+02 -1.8660e-01 +2.3936e-01 +8.8300e-02 -1.9686e-01 -2.3362e-03 -2.5946e-02 +2.5341e-01 +5.0789e-01 +7.9836e-02 -3.1149e-03 -7.3466e-01 +1.0283e+00 -1.0433e-01 -1.7486e-01 -1.6114e-01 +4.4432e-01 -4.9432e-01 +1.4226e-01 +7.1086e-01 +8.8314e-01
12707 +6.300834754e+00 +6.300834754e+00 +1.301308348e+02 +1.301308348e+02 +2.5695e-01 -1.7315e-01 -1.9495e-02 +2.1015e-01 +1.0692e-01 -4.0790e-01 -8.3894e-02 +3.9158e-01 +1.9717e-01 +7.1068e-02 -7.2838e-01 +1.2266e+00 +2.3098e-01 -5.6013e-01 -6.5535e-01 -2.7314e-02 -6.2226e-02 +6.1091e-02 +5.2202e-01 +6.0502e-01
14705 +3.979274734e+00 +3.979274734e+00 +1.278092747e+02 +1.278092747e+02 +5.1793e-01 -4.2920e-01 -2.5583e-01 +2.4749e-01 +7.3042e-02 -5.0020e-01 -3.4804e-01 +1.5912e-01 +4.0120e-01 +4.4249e-01 -4.5180e-01 +9.2885e-01 +4.8203e-01 -6.2963e-01 -5.9946e-01 -1.1385e-01 +5.0145e-02 -1.3257e-01 +4.0220e-01 +6.3506e-01
16154 +2.503020368e+00 +2.503020368e+00 +1.263330204e+02 +1.263330204e+02 +4.8073e-01 -4.8345e-01 -3.6109e-01 +1.3710e-01 +5.8787e-02 -4.3353e-01 -4.1963e-01 +1.3170e-01 +4.5854e-01 +7.0272e-01 -1.8994e-01 +7.5007e-01 +6.5743e-01 -4.9276e-01 -5.7959e-01 -1.7058e-01 +3.6228e-01 -2.7565e-01 +3.4544e-01 +5.9528e-01
16897 +1.582920478e+00 +1.582920478e+00 +1.254129205e+02 +1.254129205e+02 +3.6484e-01 -5.1599e-01 -4.3821e-01 +3.6545e-03 +1.4915e-01 -3.3550e-01 -5.1587e-01 +1.1606e-01 +3.8291e-01 +7.8503e-01 -8.4098e-02 +6.0508e-01 +7.3197e-01 -3.5728e-01 -6.4333e-01 -1.3795e-01 +5.8833e-01 -3.0908e-01 +2.8915e-01 +5.1281e-01
17614 +9.993022651e-01 +9.993022651e-01 +1.248293023e+02 +1.248293023e+02 +3.1855e-01 -5.2268e-01 -4.8197e-01 -3.4689e-02 +2.1937e-01 -2.8414e-01 -5.7241e-01 +8.6545e-02 +3.3713e-01 +8.1125e-01 -6.2212e-02 +5.1544e-01 +7.2097e-01 -2.8602e-01 -6.6815e-01 -1.5312e-01 +6.9536e-01 -3.0883e-01 +2.6425e-01 +4.3749e-01
18155 +5.966434992e-01 +5.966434992e-01 +1.244266435e+02 +1.244266435e+02 +2.6373e-01 -5.3418e-01 -5.3073e-01 -5.8659e-02 +3.2476e-01 -2.3409e-01 -6.3547e-01 +4.2280e-02 +2.7019e-01 +8.5248e-01 -6.0365e-02 +3.9359e-01 +6.6309e-01 -2.0670e-01 -6.9931e-01 -1.8230e-01 +7.9362e-01 -2.7930e-01 +2.4651e-01 +3.5693e-01
18586 +3.900550012e-01 +3.900550012e-01 +1.242200550e+02 +1.242200550e+02 +2.4419e-01 -5.3214e-01 -5.5822e-01 -5.7989e-02 +3.7645e-01 -2.0984e-01 -6.5614e-01 +1.6920e-02 +2.2499e-01 +8.7514e-01 -8.3643e-02 +3.2110e-01 +6.1006e-01 -1.7332e-01 -7.0784e-01 -2.1829e-01 +8.3431e-01 -2.5495e-01 +2.3195e-01 +3.0649e-01
18924 +2.437767347e-01 +2.437767347e-01 +1.240737767e+02 +1.240737767e+02 +2.1898e-01 -5.2414e-01 -5.8459e-01 -5.4704e-02 +4.3278e-01 -1.8437e-01 -6.7650e-01 -9.9365e-03 +1.8259e-01 +9.1020e-01 -1.1144e-01 +2.4816e-01 +5.5937e-01 -1.3959e-01 -7.1170e-01 -2.6727e-01 +8.7767e-01 -2.2576e-01 +2.3029e-01 +2.5639e-01
