% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
852 +1.205956288e+02 +1.205956288e+02 +1.564956288e+02 +1.564956288e+02 +6.9104e-01 +4.0576e+00 +4.9639e+00 +2.5262e+00 -4.6478e+00 -4.9936e+00 -6.5841e-01 -4.9974e+00 -1.8941e+00 -5.0000e+00 -1.9194e+00 -2.3790e+00 +6.9186e-01 -4.0937e+00 +2.1390e+00 -2.6316e+00 +2.4500e-01 +4.9186e+00 -1.6284e+00 -2.2356e+00
1095 +9.555055814e+01 +9.555055814e+01 +1.314505581e+02 +1.314505581e+02 +1.0526e+00 +3.7700e+00 +4.9199e+00 +3.7009e+00 -4.7536e+00 -4.9836e+00 -1.5463e+00 -4.9975e+00 -3.5259e+00 -2.9688e+00 -2.5492e+00 -1.6423e+00 -5.6959e-01 -3.7521e+00 +1.3395e+00 -3.6548e+00 +3.5450e-03 +4.9129e+00 -6.2387e-01 -1.8327e+00
1464 +6.296677130e+01 +6.296677130e+01 +9.886677130e+01 +9.886677130e+01 +2.6685e+00 +2.8104e+00 +4.8223e+00 +3.4932e+00 -4.7385e+00 -4.9847e+00 -2.1114e+00 -4.9982e+00 -1.7426e+00 -2.8703e+00 -1.8265e+00 -1.5531e+00 -1.3263e+00 -2.4619e+00 +1.0463e+00 -3.6258e+00 -3.0078e-01 +4.9054e+00 -1.1594e+00 -2.2607e+00
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.426039550e+05 +3.426039550e+05 +3.426353250e+05 +3.426353250e+05 -7.1408e-01 -2.3375e+00 +5.3353e-01 +2.6000e+00 -6.1144e-02 -4.7586e+00 +4.8605e+00 -1.2732e+00 -1.5655e+00 -3.5116e+00 -3.3009e+00 -1.4024e+00 +4.7619e+00 -1.7109e+00 +6.8238e-01 -1.6787e+00 +8.1831e-01 -2.5197e-01 -4.5673e+00 -1.5501e+00
55 +2.088216287e+05 +2.088216287e+05 +2.088529987e+05 +2.088529987e+05 +2.2324e+00 -2.8288e+00 -1.8259e+00 +4.9865e+00 +2.7860e+00 -2.8857e-01 -3.1914e+00 +1.1330e-02 -2.2743e+00 -1.7202e+00 -1.9313e+00 +1.3461e+00 +2.6863e+00 -3.0945e-01 +1.3223e-01 -2.6503e+00 +2.6496e+00 +1.5064e+00 +1.6975e+00 -8.5061e-01
205 +1.503862201e+05 +1.503862201e+05 +1.504175901e+05 +1.504175901e+05 +4.3201e+00 -4.9715e+00 -1.0951e+00 +4.9788e+00 +5.5309e-01 -4.4021e+00 -1.6304e+00 -2.9822e+00 -4.2934e+00 -2.1545e+00 -3.2633e+00 +8.9587e-01 +5.0000e+00 -1.3657e+00 +4.9166e+00 +7.0603e-01 +2.4539e+00 -3.3290e+00 +2.1971e+00 -4.7161e-01
236 +7.840296766e+04 +7.840296766e+04 +7.843433766e+04 +7.843433766e+04 +3.2983e+00 -1.6915e+00 -2.0519e+00 +3.8163e+00 -7.3574e-01 -2.7511e+00 -3.8895e-01 -1.0033e+00 -2.8667e+00 -1.6958e+00 -2.6551e+00 +1.3238e-01 +4.2674e+00 -5.2253e-01 +4.0452e+00 -1.8228e+00 -2.5079e+00 -1.4460e+00 +1.0649e+00 -2.7878e+00
273 +6.116354085e+04 +6.116354085e+04 +6.119491085e+04 +6.119491085e+04 +4.9178e+00 -3.4152e+00 -1.3685e+00 +3.2370e+00 -4.3615e+00 -2.1327e+00 -1.8546e+00 -9.5877e-01 -3.9126e+00 -5.0000e+00 -1.8839e+00 -1.8223e+00 +4.4518e+00 -2.0186e+00 +4.6741e-01 +3.3084e+00 +4.4019e+00 -5.0000e+00 +3.0601e+00 +2.9152e+00
343 +3.243191920e+04 +3.243191920e+04 +3.246328920e+04 +3.246328920e+04 +5.0000e+00 -1.8134e+00 -4.6758e+00 +3.5882e+00 -3.0645e+00 -3.0913e+00 -1.2875e+00 -7.5299e-01 -4.4946e+00 -5.0000e+00 -5.9525e-01 +6.1732e-01 +4.7690e+00 -5.7114e-01 +2.5624e+00 +1.7077e+00 -1.4484e+00 -2.2560e+00 +4.9074e+00 -9.9369e-02
