% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3326 +2.407613063e+02 +2.407613063e+02 +2.544013063e+02 +2.544013063e+02 -2.0310e+00 +2.8212e+00 -1.0555e-01 +1.7151e+00 +2.6646e+00 -7.6245e-01 -7.8941e-01 -2.9104e+00 -1.3700e+00 -1.2605e+00 -1.9426e+00 +2.5822e+00 +1.8502e-01 -1.0204e+00 +3.1447e-01 +2.2126e+00 -2.2845e+00 -1.8786e-01 +7.1690e-01 +2.2361e-01
19924 +1.573924623e+02 +1.573924623e+02 +1.710324623e+02 +1.710324623e+02 -1.5039e+00 -2.2536e-01 +1.9182e+00 +2.5590e+00 +1.5972e+00 -1.1580e+00 -1.1288e+00 -1.6242e-01 -9.1271e-01 -6.9341e-01 -1.9099e+00 +1.7671e+00 +1.7593e+00 -9.2905e-01 +1.1549e+00 -3.2402e+00 -2.5258e+00 -1.5374e+00 +1.8651e+00 +1.2456e+00
921655 +9.652913137e+01 +9.652913137e+01 +1.101691314e+02 +1.101691314e+02 -1.6269e+00 +1.3641e+00 +7.3412e-01 +2.1698e+00 +1.1309e+00 -1.2326e+00 -1.9076e-01 -1.1492e+00 -1.0389e+00 -1.4632e+00 -1.4340e+00 +6.7089e-01 +1.6542e+00 -1.3374e+00 +3.9795e-01 -1.7598e+00 -1.7092e+00 -1.0220e+00 +8.3641e-01 +1.0431e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.984218091e+02 +7.984218091e+02 +9.932218091e+02 +9.932218091e+02 -1.3284e+00 -3.1794e+00 +3.2754e+00 +2.5809e+00 -1.6144e+00 +1.1903e+00 -1.1471e-01 +1.9284e+00 +6.5364e-01 +4.2383e+00 +4.7194e+00 +3.9439e+00 -2.1258e+00 +3.5350e+00 +3.7364e+00 +2.8462e+00 -1.0763e+00 +9.4658e-01 +2.7438e+00 +2.3790e-01
11 +5.607526658e+02 +5.607526658e+02 +7.555526658e+02 +7.555526658e+02 +4.8990e+00 +2.2143e+00 -2.5823e+00 -3.2395e+00 -4.1841e-01 -2.7950e+00 -1.2664e+00 +1.2542e+00 +3.6870e+00 +2.8077e+00 -1.5903e+00 +2.8870e-02 +1.7420e+00 +2.0732e+00 +1.1224e+00 -4.3656e-01 +1.4832e-01 -2.1074e+00 +9.0008e-01 +1.4240e+00
1303 +3.726975367e+02 +3.726975367e+02 +5.674975367e+02 +5.674975367e+02 +9.8175e-01 +3.5052e+00 +3.5228e+00 +1.0624e+00 -1.7941e-01 -1.8268e+00 -1.4393e-01 +3.9686e+00 -2.4563e+00 -1.2866e+00 +3.2760e+00 +7.1271e-01 +7.5156e-01 -3.2783e-01 -1.8786e+00 +6.8733e-01 -1.5997e+00 +9.8214e-01 +1.1649e+00 +3.1743e+00
3319 +2.380349206e+02 +2.380349206e+02 +4.328349206e+02 +4.328349206e+02 -9.1701e-01 +1.4247e+00 +2.9827e+00 -1.7940e+00 -1.5541e-01 -1.1085e+00 +4.0960e-01 +2.8908e-01 -1.9613e-01 -2.0546e+00 -1.6567e+00 -1.8861e+00 +1.8504e+00 -3.1311e+00 -1.0766e+00 +5.3067e-01 -7.4121e-01 -1.9231e+00 +2.4930e+00 +3.8183e-01
12266 +1.540289458e+02 +1.540289458e+02 +3.488289458e+02 +3.488289458e+02 -1.4758e+00 +4.4642e-01 +2.6354e+00 -7.6131e-01 +1.5734e+00 -1.2920e+00 +1.0880e+00 +2.1251e+00 -3.6937e-01 -1.2313e+00 -7.7203e-01 +1.0259e+00 +9.3689e-01 -1.4793e+00 -1.4763e+00 +1.9148e+00 -1.0409e+00 -2.2699e+00 +9.9680e-01 +1.3907e+00
991901 +9.666641447e+01 +9.666641447e+01 +2.914664145e+02 +2.914664145e+02 -6.8920e-01 +1.2736e+00 +1.7206e+00 -1.0907e+00 +1.2118e+00 -1.3639e+00 +5.2582e-01 +1.2053e+00 -1.5668e+00 -1.6445e+00 -1.1989e+00 +1.7634e+00 +1.1850e+00 -2.1796e+00 -3.4775e-01 +2.9455e-01 -9.8167e-01 -1.6193e+00 +1.9190e+00 +9.6712e-01
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.967089083e+02 +8.967089083e+02 +7.631189083e+02 +7.631189083e+02 +3.6010e+00 +3.0888e+00 +7.1289e-01 -2.5289e+00 -1.9621e+00 -4.3064e+00 +2.9630e+00 +2.9298e+00 +3.6496e+00 -3.8390e+00 -9.0943e-02 -5.4248e-02 -1.9098e-01 -5.4961e-01 +1.2200e+00 -3.2893e+00 -4.0058e+00 +7.2443e-02 -2.9310e+00 +4.9688e+00
25 +6.235811392e+02 +6.235811392e+02 +4.899911392e+02 +4.899911392e+02 +4.2787e-01 +2.0942e+00 +1.5952e+00 -2.0913e+00 +6.2604e-01 -5.5507e-01 -2.0884e+00 -4.5975e+00 +2.4084e+00 +3.5869e+00 -3.2594e+00 -3.6427e+00 -9.4140e-01 -2.9447e+00 +3.9817e+00 +3.3193e-01 -3.8153e+00 +1.6717e+00 +3.3750e-01 +4.5916e-01
1608 +3.963397918e+02 +3.963397918e+02 +2.627497918e+02 +2.627497918e+02 +2.7156e-01 +2.1460e+00 +2.5234e+00 -3.4075e-01 +8.8201e-01 +1.8381e+00 +2.3272e+00 -1.9689e+00 +1.1899e+00 +3.5973e+00 -6.7283e-01 +2.2239e-02 -9.2658e-01 +1.0569e-01 -5.3651e-01 -2.9737e+00 +3.4571e+00 -6.9935e-01 +5.1969e-01 +3.4235e-01
6023 +2.254451213e+02 +2.254451213e+02 +9.185512126e+01 +9.185512126e+01 +1.8955e+00 +1.2388e+00 +4.7649e-01 -9.9824e-01 -4.6620e-01 +1.7762e+00 +2.2875e+00 -2.5995e+00 +2.2953e+00 +1.8587e+00 -9.7300e-01 +1.0225e+00 -2.9732e+00 -2.3899e+00 +6.1740e-01 -1.5855e+00 +1.6165e+00 +9.1561e-01 +1.9661e+00 +1.2889e+00
19938 +1.532334808e+02 +1.532334808e+02 +1.964348075e+01 +1.964348075e+01 +1.4537e+00 +1.5137e+00 -1.9438e+00 -1.5917e+00 -2.2495e+00 +4.5809e-01 +3.1454e-01 -2.0908e+00 +1.2458e+00 +4.9982e-01 -1.9531e+00 +2.3018e+00 +1.7446e-01 -1.7398e+00 -2.0284e-01 -1.6163e+00 +9.4115e-01 +2.1863e+00 +1.6325e+00 +1.0247e+00
474751 +9.840957778e+01 +9.840957778e+01 -3.518042222e+01 -3.518042222e+01 +2.7708e+00 +1.1470e+00 -2.1123e+00 -1.7262e+00 -1.6251e+00 +8.9759e-01 +1.6950e+00 -1.7380e+00 +8.4759e-01 +1.4611e+00 -1.7696e+00 +1.0957e+00 -2.6707e-01 -1.8510e+00 +3.6030e-01 -7.1334e-01 +1.9894e+00 +2.0204e+00 +1.2888e-01 +6.3426e-01
% function evaluation | noise-free fitness - Fopt (-4.089000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.057605115e+03 +1.057605115e+03 +1.016715115e+03 +1.016715115e+03 -2.2563e+00 +4.7302e+00 -3.1079e+00 +2.0159e+00 +2.4566e+00 +4.2931e+00 +6.3238e-01 -3.3153e+00 -4.1841e+00 -1.3438e+00 +3.0366e+00 +4.4768e+00 +4.4960e+00 +4.1603e+00 +8.9594e-01 +3.8879e+00 +1.9862e+00 -1.6716e-01 +3.4024e+00 -2.8473e+00
2 +9.474332153e+02 +9.474332153e+02 +9.065432153e+02 +9.065432153e+02 -4.0478e+00 +1.1623e-01 -7.2719e-01 +4.1034e+00 +3.4924e+00 +3.4843e+00 -2.5881e-01 -3.5013e+00 -4.1952e+00 -3.2175e+00 +3.8732e+00 -3.0041e+00 -2.4379e+00 +1.8619e+00 -4.3710e+00 +4.7825e+00 -2.1834e+00 -4.2337e+00 +4.5487e+00 +3.5242e+00
9 +4.967142133e+02 +4.967142133e+02 +4.558242133e+02 +4.558242133e+02 -4.2605e+00 +3.0709e-01 +4.2669e+00 -1.8850e+00 +3.3826e+00 -4.1081e+00 -3.5404e+00 +1.1651e+00 -2.1309e+00 -2.0713e+00 -1.2647e+00 +3.3386e+00 -4.1092e+00 +1.2154e+00 -3.5046e+00 -2.0435e+00 -3.6168e+00 +3.0109e+00 +2.5248e+00 -1.6148e+00
1208 +3.827645504e+02 +3.827645504e+02 +3.418745504e+02 +3.418745504e+02 -1.6063e+00 +1.0542e+00 +3.8055e+00 -2.3132e+00 -4.5637e-01 -2.4006e+00 +1.2303e+00 +5.2369e-01 -3.9445e-01 +2.2755e+00 -3.9170e+00 +1.2422e+00 -1.1516e+00 -1.9364e+00 -8.6496e-01 +1.9262e+00 -1.3492e+00 -1.1469e+00 +1.8786e+00 -7.1719e-01
4512 +2.140031488e+02 +2.140031488e+02 +1.731131488e+02 +1.731131488e+02 +5.0360e-01 -1.3034e+00 +1.2602e-01 -1.5234e+00 +1.4064e+00 -2.3941e+00 -2.2104e+00 -1.3184e-01 -2.1327e+00 -9.2539e-01 -1.5859e+00 +1.9875e+00 +6.6922e-01 -1.6557e+00 -1.3129e+00 +8.1052e-01 -2.2479e+00 -5.2446e-01 +1.0648e+00 +1.9760e+00
13102 +1.500157666e+02 +1.500157666e+02 +1.091257666e+02 +1.091257666e+02 -8.1451e-01 -8.2310e-01 +1.3005e+00 -8.6384e-01 +1.8684e+00 -2.0882e+00 -3.1908e+00 +1.0795e+00 -1.7180e+00 -2.2748e+00 -1.0168e+00 -2.0425e-01 -7.0974e-01 -1.5362e+00 -1.7964e+00 +1.4438e+00 -1.0715e+00 +1.3206e+00 +8.7790e-01 +1.2061e+00
% function evaluation | noise-free fitness - Fopt (-2.512400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.151591442e+02 +9.151591442e+02 +6.639191442e+02 +6.639191442e+02 -2.5372e+00 +1.5767e+00 -5.7897e-01 -1.3201e+00 +3.4821e+00 +1.2998e+00 -2.1066e-01 +6.2534e-01 +4.4846e+00 +4.5159e+00 -2.2023e+00 -1.6634e+00 +3.1557e+00 +1.8038e+00 -4.8110e+00 -2.1075e+00 -4.4334e+00 +4.8176e+00 -3.2615e+00 +2.1005e+00
3 +6.216744494e+02 +6.216744494e+02 +3.704344494e+02 +3.704344494e+02 +2.0923e+00 -1.5576e+00 -1.2614e+00 -3.4770e+00 +1.0004e+00 +4.6337e+00 +7.7191e-01 +1.9524e+00 -1.0534e+00 -4.6423e-01 +1.8821e+00 +1.3213e+00 -4.1231e+00 -1.0387e+00 -6.3322e-01 +1.4911e+00 -9.9777e-01 -3.8997e+00 -1.0842e+00 -1.8669e+00
1169 +3.931047876e+02 +3.931047876e+02 +1.418647876e+02 +1.418647876e+02 -2.0900e+00 -3.1460e+00 +1.3733e+00 +1.7097e+00 +3.3196e+00 +2.7923e+00 +7.1017e-01 -7.1250e-02 +2.4159e+00 -7.3831e-01 +3.3124e-01 -1.9897e+00 -3.0259e+00 +2.0420e+00 +3.6256e+00 -1.0663e+00 +1.4933e+00 -1.2967e+00 +5.4970e-01 -2.6770e+00
3133 +2.436646666e+02 +2.436646666e+02 -7.575333416e+00 -7.575333416e+00 -3.3305e+00 +2.2201e+00 +2.1158e+00 +2.0503e+00 +1.4511e+00 -1.0639e+00 +6.0428e-01 +1.4961e+00 +2.4634e+00 +2.2161e+00 +1.7634e-01 -1.3517e+00 -1.5933e+00 -2.8956e-01 +1.5172e+00 -1.6068e+00 +1.6118e-01 -2.5862e+00 -1.3581e+00 +3.1929e+00
6056 +1.449110362e+02 +1.449110362e+02 -1.063289638e+02 -1.063289638e+02 -1.4910e+00 +5.4523e-01 +4.2992e-01 +7.3541e-01 +2.1491e+00 -2.4013e+00 +1.3486e+00 +1.2040e+00 +1.7908e+00 +9.6131e-01 +7.6098e-01 -2.4050e+00 -2.0148e-01 +1.4768e+00 +8.7397e-01 -2.1661e+00 +4.0019e-01 -8.5165e-01 +1.9696e+00 -4.1749e-01
% function evaluation | noise-free fitness - Fopt (-3.288000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.632234078e+02 +7.632234078e+02 +7.303434078e+02 +7.303434078e+02 -1.6243e+00 -1.7499e-01 +4.8527e+00 -3.5258e+00 +4.3200e-01 -4.4579e+00 +2.0749e+00 -4.5858e+00 -9.7871e-01 -8.9050e-01 -1.7313e+00 +3.7989e+00 +2.8736e+00 -3.7506e+00 -3.2429e+00 -2.2857e+00 -4.5307e-01 +2.0679e+00 -4.5955e+00 +6.2291e-01
15 +5.991339917e+02 +5.991339917e+02 +5.662539917e+02 +5.662539917e+02 -3.7015e+00 +2.3953e+00 +3.9502e+00 +2.2221e+00 -2.0492e+00 -2.1548e+00 +2.4377e-01 -3.7001e+00 -2.0715e-01 -3.1274e+00 +1.3641e+00 -1.8423e+00 -2.0737e+00 -1.6235e+00 -3.3924e+00 -4.4014e+00 +4.2189e+00 +3.1326e+00 -4.5280e+00 -3.3297e+00
858 +3.915216271e+02 +3.915216271e+02 +3.586416271e+02 +3.586416271e+02 -4.4067e+00 +3.8696e+00 +2.5360e-01 +3.2640e+00 -1.3352e+00 -4.4366e-01 +3.0261e+00 -1.6743e+00 -3.6875e+00 -1.1986e+00 +2.2972e+00 +1.3302e+00 +3.5099e+00 +2.5047e-01 +1.3943e+00 -2.3109e-01 +2.1801e+00 +1.9791e+00 -1.2554e+00 +2.9097e+00
3632 +2.344698805e+02 +2.344698805e+02 +2.015898805e+02 +2.015898805e+02 -1.8445e+00 +9.9186e-01 -4.5598e-01 +1.1275e+00 -5.4476e-01 -1.3261e+00 +1.6275e+00 +3.1593e-01 -2.9197e-01 -3.8749e-01 +3.0853e+00 -4.3354e-01 +3.7384e-01 +1.7074e+00 +1.1396e+00 -1.6346e+00 +1.2715e+00 +1.1204e+00 -3.9593e+00 +1.1278e+00
9939 +1.578467975e+02 +1.578467975e+02 +1.249667975e+02 +1.249667975e+02 -1.5420e+00 +7.4081e-01 +1.3799e+00 +1.0927e+00 -7.8153e-01 +8.9585e-01 +1.5326e+00 +8.7602e-02 -5.2954e-01 +3.4733e-01 +1.6113e+00 -3.8798e-01 +4.4730e-02 +6.8945e-01 +9.9334e-01 +1.2054e-02 +1.3568e+00 +3.1116e+00 -1.2281e+00 +2.0639e+00
% function evaluation | noise-free fitness - Fopt (-8.570000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.986274906e+02 +8.986274906e+02 +8.900574906e+02 +8.900574906e+02 -3.9894e+00 -1.0402e+00 +3.1596e+00 +3.5118e+00 -4.4081e+00 -3.7217e+00 +4.8691e+00 -2.3968e+00 -6.8236e-01 -2.2992e-01 -2.2465e+00 -4.6120e+00 -1.2739e+00 +3.8256e+00 -3.8239e+00 -3.2448e+00 -2.1794e-01 +9.0535e-01 -1.0845e-01 +3.7882e-01
16 +5.839162310e+02 +5.839162310e+02 +5.753462310e+02 +5.753462310e+02 +4.4111e+00 -1.2118e+00 +4.6272e+00 +2.5411e+00 -3.1763e+00 +3.7165e+00 +6.2682e-01 +1.3431e+00 +4.9372e+00 -2.8161e-01 -2.1948e+00 +2.8780e+00 +1.9793e+00 -1.7546e-01 +2.3878e-01 -1.6167e+00 -4.5861e+00 +1.1450e+00 -2.7651e+00 -1.5382e+00
1317 +3.925444053e+02 +3.925444053e+02 +3.839744053e+02 +3.839744053e+02 +4.3873e-02 +1.8309e+00 +3.7350e+00 -3.6247e+00 -9.2150e-01 +6.8670e-01 +1.4723e+00 +3.6653e+00 +1.8619e+00 -1.8682e+00 +7.1041e-01 +2.2176e+00 -1.1242e+00 -1.8975e+00 +4.6915e-01 +2.2230e+00 +1.6383e+00 +2.4024e+00 -1.6345e+00 -1.0758e+00
3216 +2.412241363e+02 +2.412241363e+02 +2.326541363e+02 +2.326541363e+02 -1.4623e+00 +1.7900e+00 +2.5676e+00 +1.1414e+00 -2.7612e+00 +1.9454e+00 +2.0259e+00 +4.8102e+00 +1.2380e+00 -8.0728e-01 -8.0124e-01 +8.1713e-01 +1.6629e+00 -2.4664e+00 +2.2493e+00 +1.6364e+00 -1.6690e+00 +1.6791e+00 -2.1170e+00 +5.1970e-02
10636 +1.451884578e+02 +1.451884578e+02 +1.366184578e+02 +1.366184578e+02 -1.2557e-01 +1.4817e+00 +1.9318e-01 +2.4132e+00 -3.0445e+00 +1.7000e+00 +1.3262e+00 +5.1707e-02 +6.5364e-02 +4.9863e-02 +2.7309e-01 +3.2701e-01 +2.7894e+00 -9.0661e-01 +2.0112e+00 +9.6183e-01 -1.1709e+00 +4.8146e-01 -1.9850e+00 -2.5330e+00
% function evaluation | noise-free fitness - Fopt (-1.402500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.070715235e+03 +1.070715235e+03 +9.304652350e+02 +9.304652350e+02 -2.5377e+00 +4.6140e+00 +3.1282e+00 -3.8218e+00 +2.4597e+00 +1.9815e+00 -2.0957e-01 -5.7295e-02 +3.7516e+00 +3.2664e+00 +1.1067e+00 -1.4856e+00 +4.0168e+00 +4.0737e+00 -3.8682e+00 +3.8444e+00 -2.8026e+00 +4.8662e+00 +3.0236e+00 +3.7979e+00
2 +6.671749824e+02 +6.671749824e+02 +5.269249824e+02 +5.269249824e+02 +2.8359e+00 +7.2474e-01 -3.3636e+00 +1.9126e+00 +2.5971e+00 -6.8792e-01 +2.6107e-01 +4.8614e+00 -2.8649e+00 +6.3175e-01 -1.6901e+00 +1.3190e+00 -3.4152e+00 -3.8935e+00 +8.0470e-03 +2.6336e+00 +2.4747e+00 -1.5744e+00 -5.2027e-01 +8.2216e-01
16 +5.738610838e+02 +5.738610838e+02 +4.336110838e+02 +4.336110838e+02 -6.8865e-01 -1.1720e+00 -2.3997e+00 +3.0897e+00 -4.8523e-01 -1.6847e+00 +2.4835e+00 -1.7084e+00 -3.2916e+00 -2.7705e+00 +3.4753e-01 -1.5511e+00 +4.6553e+00 +3.4560e-01 -3.5581e+00 -1.5196e+00 +1.9917e-01 -1.2441e-02 +4.7567e+00 +2.6294e+00
1436 +3.436920968e+02 +3.436920968e+02 +2.034420968e+02 +2.034420968e+02 -3.0889e+00 -2.1886e+00 -1.5826e+00 +4.2173e+00 +7.5349e-01 -7.2723e-01 -2.8938e+00 -6.6493e-01 -9.2172e-01 +9.1660e-01 +3.4981e+00 +2.5959e+00 -6.9542e-01 +3.9873e+00 +1.4471e+00 +1.6257e+00 +4.6859e+00 +8.8835e-01 +2.2074e+00 +2.7010e+00
4003 +2.364088415e+02 +2.364088415e+02 +9.615884146e+01 +9.615884146e+01 -1.0679e+00 -1.9041e-01 -1.0346e+00 +1.2374e-01 +1.4746e+00 +3.0755e-01 -2.9945e-04 -7.3710e-01 -3.3811e+00 -1.6087e+00 +1.7369e+00 +6.5775e-01 -2.7682e+00 +9.7002e-01 +6.7732e-01 -1.5611e+00 +1.2682e+00 +2.3908e+00 -3.4982e-01 -1.6776e-01
29842 +1.570009653e+02 +1.570009653e+02 +1.675096530e+01 +1.675096530e+01 -9.7644e-01 -1.9592e+00 -1.9799e+00 +4.7707e-01 +1.9635e+00 -1.9247e+00 -9.2738e-01 +5.4844e-01 -8.7773e-01 -2.1039e+00 +1.1749e+00 +6.9518e-01 -1.7057e+00 +8.6002e-02 +1.4044e+00 -5.1648e-01 +6.5493e-01 +1.0135e+00 +1.1732e+00 +1.5111e+00
% function evaluation | noise-free fitness - Fopt (2.817400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.708926716e+02 +8.708926716e+02 +1.152632672e+03 +1.152632672e+03 -3.8100e+00 +1.6653e+00 +3.6208e+00 -1.3534e+00 -3.9599e+00 -3.9550e+00 +2.3533e+00 -3.5146e+00 +9.7373e-02 -4.1374e+00 +2.1995e+00 +4.3995e+00 +4.9617e+00 +3.9291e+00 -4.6866e+00 -2.5007e+00 -1.9024e+00 -2.6174e+00 +2.8401e+00 +1.5572e+00
5 +5.970742439e+02 +5.970742439e+02 +8.788142439e+02 +8.788142439e+02 +1.5776e+00 -3.1589e+00 +3.5432e+00 -4.1532e+00 -3.1985e+00 +9.3860e-01 +3.7606e+00 -4.5847e+00 +3.0451e+00 -1.1988e+00 +3.2909e+00 -3.5711e+00 -4.1600e+00 -2.0630e+00 -2.4616e+00 +4.3247e-01 +5.9986e-01 -2.8101e+00 +1.8100e+00 -2.3710e+00
206 +3.335174631e+02 +3.335174631e+02 +6.152574631e+02 +6.152574631e+02 -1.4111e-01 +1.4254e-01 +3.0047e+00 +1.3513e+00 -4.4673e+00 -2.1629e+00 +9.3377e-01 -1.2047e+00 -1.5039e+00 +1.7980e+00 +3.1328e+00 -1.0297e+00 -9.7306e-01 -5.6020e-01 -1.8500e+00 +4.5473e+00 +1.6456e-01 +4.7362e-01 -1.8009e+00 -3.2048e+00
3718 +2.389837722e+02 +2.389837722e+02 +5.207237722e+02 +5.207237722e+02 -3.9545e-01 -2.2480e+00 +7.9250e-02 +1.6591e+00 -1.8040e+00 -3.4199e+00 +7.5633e-01 -1.5247e+00 +8.7280e-01 -1.6693e+00 +3.8854e+00 -2.0654e+00 -4.2260e-01 -1.4751e-01 -1.6062e+00 +3.1709e+00 -6.2260e-01 -2.0342e-01 +2.2379e-02 -4.0355e-01
