% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4349 +1.525868642e+02 +1.525868642e+02 +2.226168642e+02 +2.226168642e+02 -1.0333e+00 -1.6103e+00 -4.8015e+00 +9.0308e-01 -1.5725e-01 -4.9964e+00 -1.7538e+00 +2.1002e+00 -2.8163e+00 -5.9597e-01 +2.6571e-01 -8.5727e-01 +4.9688e+00 -4.9236e+00 -2.0458e+00 -4.0117e+00 -7.1475e-02 +3.8658e+00 -2.9726e+00 +5.5460e-01
6118 +9.955904033e+01 +9.955904033e+01 +1.695890403e+02 +1.695890403e+02 -9.0749e-01 -1.6904e+00 -4.8728e+00 +9.7186e-01 -2.3287e-01 -4.9996e+00 -1.8098e+00 +1.9954e+00 -2.8043e+00 -5.9920e-01 +2.6034e-01 -7.8937e-01 +4.9919e+00 -4.9076e+00 -1.8769e+00 -4.0071e+00 -2.1045e-01 +3.7429e+00 -2.9996e+00 +6.1502e-01
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.487271244e+03 +1.487271244e+03 +1.439051244e+03 +1.439051244e+03 +4.5407e+00 -3.1314e+00 +4.1431e+00 +4.0314e+00 +1.2372e+00 +1.0191e+00 -4.2973e+00 -5.6775e-01 -4.8804e+00 +2.6016e+00 -4.1315e+00 +2.2136e+00 +1.7736e+00 -2.3030e+00 -3.0763e+00 -4.8458e+00 -3.4968e+00 -2.9952e+00 -2.3804e+00 -3.7154e+00
22 +9.617023441e+02 +9.617023441e+02 +9.134823441e+02 +9.134823441e+02 -1.7804e+00 +2.8791e-01 +2.0943e+00 -1.0871e+00 -3.7496e+00 +9.1853e-02 -3.2381e+00 +1.7838e+00 +1.5639e+00 +1.7112e+00 -1.6038e+00 +1.0873e+00 -4.3634e+00 -1.0034e+00 +1.4817e+00 -1.2277e+00 -1.6425e+00 +4.4833e-01 -2.4061e+00 -1.6733e+00
190 +6.061593801e+02 +6.061593801e+02 +5.579393801e+02 +5.579393801e+02 +8.5197e-01 -4.7029e+00 +3.6192e+00 +9.4820e-01 -3.4728e+00 +9.8207e-01 -1.8173e+00 +1.4819e+00 -1.2848e+00 +4.8667e+00 -2.3947e+00 -2.4845e+00 +3.1620e+00 +9.5845e-01 -1.2926e+00 -5.0000e+00 +2.6713e+00 +8.9058e-01 +4.2653e+00 +0.0000e+00
449 +3.544620725e+02 +3.544620725e+02 +3.062420725e+02 +3.062420725e+02 -2.8030e+00 -4.8840e+00 -9.0816e-01 +3.1592e+00 -3.3539e+00 +2.8317e+00 -1.5758e+00 +2.6848e+00 -1.5961e+00 +2.6230e+00 -1.1574e+00 -2.4721e+00 +2.9865e-01 +4.4605e+00 -2.1559e+00 -2.1269e+00 -8.2143e-01 -1.1119e+00 +2.1624e+00 +2.9551e+00
1385 +2.225196474e+02 +2.225196474e+02 +1.742996474e+02 +1.742996474e+02 +2.7373e-01 -4.8813e+00 -1.6110e+00 +2.2830e+00 -4.9960e+00 +1.7796e+00 -1.1517e+00 +1.6697e+00 -3.5432e+00 +2.3868e+00 -2.2300e+00 -2.2256e+00 +4.2535e-01 +3.8206e+00 -1.4211e+00 -1.3640e-01 -2.4063e+00 -8.1481e-01 +1.8830e+00 +1.8734e+00
4863 +1.583024637e+02 +1.583024637e+02 +1.100824637e+02 +1.100824637e+02 -1.5007e+00 -4.8670e+00 -1.0441e+00 +9.6034e-01 -4.9931e+00 +1.7172e+00 -2.1933e+00 +1.4351e+00 -2.3204e+00 +2.6911e+00 -3.9856e+00 -2.3029e+00 +3.1759e-01 +3.8962e+00 -1.5021e+00 -1.7033e+00 -2.6630e+00 -1.3568e+00 +2.0444e+00 +2.6227e+00
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
