% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.495196160e+01 +4.495196160e+01 -7.398038396e+00 -7.398038396e+00 +4.5013e+00 -3.0657e+00 +8.2792e-01 -4.8575e-01 -6.0209e-01 -1.2411e+00 -1.3969e+00 +4.0899e+00 -2.1406e+00 -4.5095e+00
4 +3.469628377e+01 +3.469628377e+01 -1.765371623e+01 -1.765371623e+01 -1.4018e-01 +4.1674e-01 -1.6605e+00 -1.8731e+00 -1.3492e+00 +2.5367e+00 +9.7345e-01 -2.1806e-01 +2.2198e+00 -2.1385e+00
5 +2.116200319e+01 +2.116200319e+01 -3.118799681e+01 -3.118799681e+01 +3.9130e+00 -3.4913e+00 -6.7093e-01 -4.8714e+00 -1.0676e+00 +2.9387e+00 -4.5072e+00 +9.7171e-01 -1.9379e+00 -2.4880e+00
85 +1.003707871e+01 +1.003707871e+01 -4.231292129e+01 -4.231292129e+01 +1.0075e+00 -2.1840e+00 +1.0884e+00 -5.0000e+00 +9.7734e-01 +1.8590e+00 -3.5371e+00 +1.7790e-01 -5.0241e-01 -3.0095e+00
169 +9.271703110e+00 +9.271703110e+00 -4.307829689e+01 -4.307829689e+01 +1.7053e+00 -1.3486e+00 +6.9060e-01 -5.0000e+00 +1.0821e+00 +2.9020e+00 -5.0000e+00 -9.7632e-01 +7.9497e-01 -4.0909e+00
194 +5.973430245e+00 +5.973430245e+00 -4.637656976e+01 -4.637656976e+01 +1.0876e+00 -1.6176e+00 +1.6984e+00 -3.1048e+00 -1.6094e-02 +1.1748e+00 -3.8797e+00 +1.3923e+00 +5.1952e-01 -1.1645e+00
310 +2.853984810e+00 +2.853984810e+00 -4.949601519e+01 -4.949601519e+01 -1.1888e-01 -2.6932e+00 +2.8913e+00 -1.5585e+00 -1.8464e+00 +2.7269e+00 -3.9262e+00 -8.4518e-02 +3.2706e+00 -7.3929e-01
515 +1.641792011e+00 +1.641792011e+00 -5.070820799e+01 -5.070820799e+01 -7.2595e-01 -2.1539e+00 +2.0900e+00 -1.5197e+00 -2.0311e+00 +3.8284e+00 -4.1283e+00 +1.0751e+00 +3.4064e+00 -1.2636e+00
577 +1.363800476e+00 +1.363800476e+00 -5.098619952e+01 -5.098619952e+01 -5.4334e-01 -1.3042e+00 +2.4581e+00 -1.4315e+00 -1.2779e+00 +4.3573e+00 -4.0584e+00 +8.7866e-01 +3.3110e+00 -1.5299e+00
753 +9.624579038e-01 +9.624579038e-01 -5.138754210e+01 -5.138754210e+01 -1.3152e+00 -1.3657e+00 +2.8419e+00 -2.5793e+00 -1.7546e+00 +2.9667e+00 -3.9254e+00 +5.3834e-01 +2.4024e+00 -9.3651e-01
1053 +6.041777744e-01 +6.041777744e-01 -5.174582223e+01 -5.174582223e+01 -1.0400e+00 -1.4767e+00 +2.1231e+00 -2.8376e+00 -1.6198e+00 +2.8291e+00 -3.9920e+00 -3.7758e-01 +2.4951e+00 -1.7052e+00
1131 +3.709926270e-01 +3.709926270e-01 -5.197900737e+01 -5.197900737e+01 -1.3213e+00 -1.2114e+00 +2.2272e+00 -2.5685e+00 -1.6215e+00 +3.3210e+00 -4.0879e+00 -1.9612e-01 +2.2583e+00 -1.6748e+00
1831 +2.339636151e-01 +2.339636151e-01 -5.211603638e+01 -5.211603638e+01 -1.0388e+00 -9.6604e-01 +2.7862e+00 -2.6535e+00 -1.5958e+00 +3.3766e+00 -4.0713e+00 -6.5186e-02 +2.1466e+00 -1.6874e+00
2011 +1.379963366e-01 +1.379963366e-01 -5.221200366e+01 -5.221200366e+01 -9.6446e-01 -1.3366e+00 +2.3861e+00 -2.5055e+00 -1.5610e+00 +3.6545e+00 -4.0688e+00 +1.5228e-01 +2.9755e+00 -1.4859e+00
