% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.105041437e+03 +3.105041437e+03 +3.135011437e+03 +3.135011437e+03 -4.6205e-01 -3.2788e+00 +3.8851e+00 -2.9945e+00 +6.1277e-01 -1.3627e+00 -9.6498e-01 +2.5263e+00 -2.9747e+00 +4.4954e+00 +1.1869e+00 -2.5692e+00 +3.5453e+00 +5.5450e-01 +2.0008e+00 +3.6837e+00 +1.1080e+00 +2.5010e+00 -2.5257e+00 -3.1977e+00
7 +2.258794080e+03 +2.258794080e+03 +2.288764080e+03 +2.288764080e+03 -1.6893e+00 -8.6131e-01 -3.8952e+00 -2.7365e+00 +2.9728e+00 -2.0733e+00 -1.1177e+00 +4.6893e+00 -3.4357e+00 +1.9839e+00 -1.0282e-01 +4.9846e-01 +1.6824e-01 +4.9059e+00 -1.1791e+00 +1.7574e+00 -3.0464e+00 +4.9649e+00 +8.3539e-01 -1.7278e+00
298 +1.579367357e+03 +1.579367357e+03 +1.609337357e+03 +1.609337357e+03 +3.6212e-01 -4.3235e-01 -4.4324e-01 +1.1666e+00 +1.8470e+00 +3.4146e+00 +5.8096e-01 -2.2768e+00 -1.1454e-01 -7.2231e-01 +1.8017e+00 -1.3612e+00 +2.0399e+00 +4.6399e+00 -5.0000e+00 -6.6994e-01 -4.4752e-01 +6.9809e-01 -4.7919e-01 -2.2283e+00
534 +9.806107086e+02 +9.806107086e+02 +1.010580709e+03 +1.010580709e+03 +5.7582e-01 -2.6324e+00 -2.1488e+00 -1.3841e+00 +2.7219e+00 +3.6556e+00 -2.3718e+00 -1.5581e+00 -1.3625e+00 -3.1943e+00 +1.6989e+00 -1.0462e+00 +3.5292e+00 +4.9000e+00 -2.6300e+00 +2.4340e+00 -1.4922e+00 -1.9945e+00 +2.6367e+00 -1.4156e+00
1507 +5.898432484e+02 +5.898432484e+02 +6.198132484e+02 +6.198132484e+02 +3.8723e-01 -7.2970e-01 -4.4640e+00 -1.3150e+00 +3.0215e+00 +3.9780e+00 -2.4977e+00 -2.4655e+00 +2.1357e+00 -3.5129e+00 +2.5857e+00 -3.0057e+00 +4.6831e+00 +4.3451e+00 -1.4556e+00 +3.5811e+00 -7.8983e-01 -1.8852e+00 +1.5787e+00 -2.5830e+00
2159 +3.856231058e+02 +3.856231058e+02 +4.155931058e+02 +4.155931058e+02 +2.7270e-01 -1.3965e+00 -3.6781e+00 -1.5805e+00 +3.0932e+00 +3.6635e+00 -2.3648e+00 -2.1453e+00 +2.0090e+00 -2.4228e+00 +2.7560e+00 -1.7966e+00 +4.6844e+00 +3.3970e+00 -1.2497e+00 +2.3391e+00 -1.7551e+00 -1.9716e+00 +2.0425e+00 -2.3582e+00
3503 +2.416689930e+02 +2.416689930e+02 +2.716389930e+02 +2.716389930e+02 +7.3040e-02 -1.7799e+00 -3.8996e+00 -1.7537e+00 +2.7841e+00 +3.8673e+00 -3.1068e+00 -2.1253e+00 +1.4149e+00 -2.0422e+00 +2.1270e+00 -2.2415e+00 +4.6145e+00 +3.4097e+00 -1.6849e+00 +2.1618e+00 -1.5569e+00 -1.7032e+00 +1.3545e+00 -2.5963e+00
3848 +1.415107946e+02 +1.415107946e+02 +1.714807946e+02 +1.714807946e+02 +5.6127e-01 -1.4568e+00 -3.9059e+00 -1.9688e+00 +3.3374e+00 +3.8474e+00 -3.1075e+00 -2.1732e+00 +1.7000e+00 -1.8390e+00 +2.1442e+00 -2.0785e+00 +4.2759e+00 +2.6620e+00 -1.5042e+00 +2.2628e+00 -1.7672e+00 -1.9386e+00 +1.3928e+00 -2.4917e+00
5266 +9.890972233e+01 +9.890972233e+01 +1.288797223e+02 +1.288797223e+02 +3.2805e-01 -1.6238e+00 -3.9129e+00 -1.7632e+00 +3.3217e+00 +3.9064e+00 -3.2725e+00 -2.1182e+00 +1.7666e+00 -1.7113e+00 +2.1252e+00 -2.1761e+00 +4.5049e+00 +2.6707e+00 -1.6009e+00 +2.2988e+00 -1.7448e+00 -2.0847e+00 +1.4366e+00 -2.5705e+00
6835 +6.226996747e+01 +6.226996747e+01 +9.223996747e+01 +9.223996747e+01 +4.6184e-01 -1.5792e+00 -3.9226e+00 -1.8036e+00 +3.2699e+00 +4.0391e+00 -3.4765e+00 -1.9868e+00 +1.6722e+00 -1.5994e+00 +2.0289e+00 -2.2975e+00 +4.3495e+00 +2.6129e+00 -1.5864e+00 +2.3989e+00 -1.7634e+00 -2.1522e+00 +1.4104e+00 -2.7753e+00
9852 +3.923926809e+01 +3.923926809e+01 +6.920926809e+01 +6.920926809e+01 +3.4234e-01 -1.6704e+00 -3.9259e+00 -1.7940e+00 +3.2567e+00 +4.0144e+00 -3.4573e+00 -2.0962e+00 +1.5741e+00 -1.6184e+00 +1.9370e+00 -2.2905e+00 +4.3118e+00 +2.6152e+00 -1.6076e+00 +2.4969e+00 -1.9513e+00 -2.0260e+00 +1.4208e+00 -2.8781e+00
12691 +2.495265124e+01 +2.495265124e+01 +5.492265124e+01 +5.492265124e+01 +3.9773e-01 -1.6426e+00 -3.9109e+00 -1.7871e+00 +3.2480e+00 +3.9916e+00 -3.5001e+00 -2.1661e+00 +1.5783e+00 -1.6209e+00 +1.9288e+00 -2.2499e+00 +4.3425e+00 +2.5932e+00 -1.6577e+00 +2.5036e+00 -1.9423e+00 -2.0377e+00 +1.3396e+00 -2.8894e+00
