% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.296481878e+01 +1.296481878e+01 +1.983481878e+01 +1.983481878e+01 +4.5964e+00 -3.5444e+00 +4.1965e+00 +4.3965e+00 +3.4074e+00 -3.6951e+00 +4.4611e+00 +4.1987e+00 +4.5988e+00 +2.4625e+00 +1.8010e+00 -3.4186e+00 +3.8794e+00 -5.7497e-01 +1.3117e+00 +3.4654e+00 +1.0498e+00 +1.9770e+00 +2.4310e+00 -3.5766e+00
2 +6.765246869e+00 +6.765246869e+00 +1.363524687e+01 +1.363524687e+01 +4.9149e+00 -2.6718e+00 -3.6119e+00 -2.0893e+00 +1.1009e+00 -1.4513e-01 -3.8683e+00 +4.0298e+00 +5.2436e-01 +2.3108e+00 +3.6016e+00 +6.3449e-02 +3.1678e+00 -5.1900e-01 +9.4629e-01 +1.7081e+00 -2.4442e+00 +4.2460e+00 +4.1738e+00 +2.6680e+00
50 +6.199193919e+00 +6.199193919e+00 +1.306919392e+01 +1.306919392e+01 +3.3002e+00 +1.4970e+00 +4.5314e+00 +2.9043e+00 -9.3504e-01 -9.2991e-01 -8.1422e-01 -9.8030e-01 +4.5896e+00 -2.6553e+00 -3.4563e+00 -2.6371e+00 -2.2391e-01 +9.4916e-01 -2.5106e+00 +2.0607e+00 +4.3740e+00 +9.2912e-01 +4.9485e+00 -4.7015e+00
870 +3.222257099e+00 +3.222257099e+00 +1.009225710e+01 +1.009225710e+01 +4.5241e+00 -2.1774e+00 +4.0977e+00 -3.4785e+00 +3.0465e+00 +5.3186e-01 +6.8113e-01 +4.4718e+00 +5.0000e+00 -2.6219e+00 -3.8708e+00 -1.6519e+00 -5.4943e-01 +2.0509e+00 -2.6080e+00 +2.4458e+00 -9.6775e-01 +2.4896e+00 +3.6546e+00 -2.7658e+00
2631 +2.497031652e+00 +2.497031652e+00 +9.367031652e+00 +9.367031652e+00 +2.8551e+00 -4.9026e+00 -8.5616e-02 -1.6118e+00 -2.9816e+00 -4.7727e+00 -1.1160e+00 +3.6176e+00 +2.6080e+00 -1.8323e+00 -5.9086e-01 +7.3576e-01 +8.3546e-02 +2.5923e+00 -3.1391e-01 +2.2881e+00 -9.8902e-01 +1.8955e+00 +3.5085e+00 -3.3838e-01
8681 +1.576528770e+00 +1.576528770e+00 +8.446528770e+00 +8.446528770e+00 +2.8551e+00 -4.9024e+00 -8.2651e-02 -1.6108e+00 -2.9816e+00 -4.7730e+00 -1.0952e+00 +3.6170e+00 +2.6079e+00 -1.8387e+00 -5.9098e-01 +7.3869e-01 +8.1912e-02 +2.5900e+00 -3.2179e-01 +2.2883e+00 -9.9027e-01 +1.8956e+00 +3.5309e+00 -3.3965e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.450369216e+01 +2.450369216e+01 +2.451369216e+01 +2.451369216e+01 -3.1303e+00 +2.2353e+00 +3.8933e+00 +2.3684e+00 -9.4990e-01 +6.5411e-01 -8.1298e-01 -7.7852e-01 +1.5959e+00 +2.8833e-01 +5.4349e-01 +4.9474e+00 +3.1724e+00 +2.0966e+00 +4.4194e+00 +3.5187e+00 -4.1510e+00 +3.1974e+00 +2.4328e-01 +1.8214e+00
2 +1.567998815e+01 +1.567998815e+01 +1.568998815e+01 +1.568998815e+01 +1.4429e+00 +9.3894e-01 -3.3951e+00 -4.1129e+00 -3.6586e+00 +4.1460e+00 +2.1999e+00 +2.3045e+00 -3.3907e+00 -1.7991e+00 -3.4309e+00 +4.5669e+00 +1.3028e+00 +3.0301e+00 -8.3365e-01 -4.5345e+00 +9.1822e-01 -6.8871e-01 -4.8912e+00 +1.6765e-01
6 +8.864352481e+00 +8.864352481e+00 +8.874352481e+00 +8.874352481e+00 -9.4486e-01 -2.8868e+00 +3.7017e+00 -2.8781e+00 +3.8863e+00 -4.5464e+00 +7.4302e-02 -2.9959e+00 -1.1206e+00 +3.4809e+00 -4.5994e+00 +3.8784e+00 +4.3341e+00 -4.4781e+00 +3.3478e+00 +4.1770e+00 -3.4036e+00 +4.3894e+00 -1.7081e+00 -3.5676e+00
